調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,小嶋元太,うお…す、スゲエな…,,,,,,,10,小嶋元太,17,,,,洋館,13,IN
2クリック目,吉田歩美,わあ…素敵…,,,,3,吉田歩美,12,,,,,,,,,
3クリック目,円谷光彦,こんなに豪華な船に乗ったの、生まれて初めてです！,2,円谷光彦,15,,,,,,,,,,,,
4クリック目,毛利小五郎,…これがクルーザー？…ほとんど豪華客船じゃねえか…,,,,,,,10,毛利小五郎,4,,,,,,
5クリック目,毛利蘭,この船の持ち主って、新一のお母さんのお友達なんでしょ？いったいどんな人なんだろう…？,1,毛利蘭,8,,,,,,,,,,,,
6クリック目,江戸川コナン,"アメリカでテレビ局や新聞社をいくつも経営してるメディア王だって…
…前に、新一兄ちゃんが言ってたよ！",,,,3,江戸川コナン,3,,,,,,,,,
7クリック目,灰原哀,"メディア王ね…そういえば、私達の他に乗っているお客さん達、
いかにも各界の大物って感じの人ばっかりよ…",,,,,,,2,灰原哀,9,,,,,,
8クリック目,工藤有希子,皆さん、いらっしゃい！よく来てくれたわねー！！,2,工藤有希子,94,,,,,,,,,,,,
9クリック目,阿笠博士,おお！久しぶりじゃな！今日はお招きいただいて光栄じゃよ！,,,,,,,1,阿笠博士,6,,,,,,
10クリック目,工藤有希子,"いいのよ！
たまたま私達の友人が世界一周クルージング中で、
日本に寄ったときにパーティを開きたいって言うから、皆にもぜひ来て欲しくて！",,,,,,,,,,,,,,,
11クリック目,工藤有希子,でも、ガッカリだわ…英理ちゃんが裁判で来られないなんて…,1,工藤有希子,94,,,,,,,,,,,,
12クリック目,毛利小五郎,"ふんっ…来られなくて良かったぜ…
あんなのがいたら、せっかくの豪華なパーティが台無しってもんだ！",,,,,,,11,毛利小五郎,4,,,,,,
13クリック目,毛利蘭,もう！…また、お父さんったら！,7,毛利蘭,8,,,,,,,,,,,,
14クリック目,ロブ・メルドック,やあ、有希子！こちらが君の呼んだゲストの皆さんかな…？,,,,2,ロブ・メルドック,95,,,,,,,,,
15クリック目,工藤有希子,ロブ！…こちらはね、日本で私がとっても親しくしてもらっている皆さんよ！,2,工藤有希子,94,,,,,,,,,,,,
16クリック目,ロブ・メルドック,"皆さん、我が船にようこそ！私がロブ・メルドックです…
6時から船上パーティーがありますから、存分に楽しんでくださいね！",,,,,,,,,,,,,,,
17クリック目,小嶋元太,よーし！じゃあ、パーティーが始まるまで船の中を探検だ！！,,,,,,,3,小嶋元太,17,,,,,,
18クリック目,吉田歩美,面白そう！わたしも行くー！,,,,3,吉田歩美,12,,,,,,,,,
19クリック目,円谷光彦,あ、ちょっと待ってくださいよ！！,2,円谷光彦,15,,,,,,,,,,,,
20クリック目,江戸川コナン,おい！オメーら！気をつけろよ！船には危ない場所もあるんだからな！…,,非表示,0,4,江戸川コナン,3,,非表示,0,,,,,,
21クリック目,江戸川コナン,…それはそうと…あれ…？,,,,10,江戸川コナン,3,,,,,,,,,
22クリック目,工藤有希子,…何をキョロキョロしてるの？…新ちゃん…,1,工藤有希子,94,,,,,,,,,,,,
23クリック目,江戸川コナン,（…一緒じゃねーのかよ…？）,,,,,,,,,,,,,,,
24クリック目,工藤有希子,"（…優作はね、船に乗ってはいるんだけど、締切間際の小説が3本もあって、
部屋にずっとこもったっきり、出て来ないのよ！…）",6,工藤有希子,94,,,,,,,,,,,,
25クリック目,江戸川コナン,あ、そ…,,,,11,江戸川コナン,3,,,,,,,,,
26クリック目,-,（パーティ会場へ...）,,非表示,0,,非表示,0,,,,,,,,,
26クリック目,-,（午後6時　パーティ会場）,,,,,,,,,,,,,黒背景,999,IN
27クリック目,トニー・シンプソン,奥様！…メルドック会長を見ませんでしたか？,1,トニー・シンプソン,100,,,,,,,,,,洋館,13,IN
28クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,"え？…さっきジムで汗を流して来るって言って…その後は見てないわね…
もうパーティが始まるというのに…どうしたのかしら？",,,,,,,5,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
29クリック目,井戸原耕市,おやおや…パーティのホストが来ないんじゃ、困ったな…,,,,1,井戸原耕市,97,,,,,,,,,
30クリック目,小嶋元太,あー腹減ったぞ…早くパーティ始まらねーかな！,,,,,,,2,小嶋元太,17,,,,,,
31クリック目,阿笠博士,"これこれ…パーティの席で、はしたないことを言うもんじゃないぞ！
…とは言え、もう6時を過ぎとるな…メルドックさんはどうしたんじゃろ？",,,,,,,5,阿笠博士,6,,,,,,
32クリック目,嶋中郁江,…た、大変です！メルドック会長が…！！,5,嶋中郁江,99,,,,,,,,,,,,
33クリック目,江戸川コナン,（んっ…？）,,,,10,江戸川コナン,3,,,,,,,,,
34クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,どうしたの！？…あの人が、どうかしたの！？,,,,,,,5,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
35クリック目,嶋中郁江,お部屋の中で、会長が倒れているんです！！,,,,,,,,,,,,,,,
36クリック目,江戸川コナン,（なにっ…！？）,,,,7,江戸川コナン,3,,,,,,,,,
37クリック目,トニー・シンプソン,何だって！？…と、とにかく会長の部屋に行ってみましょう！！,1,トニー・シンプソン,100,,,,,,,,,,,,
38クリック目,江戸川コナン,何かあったみたいだな……,,,,,,,,,,,,,,,
39クリック目,毛利蘭,あ、ちょっとコナン君！…どこ行くの！？,7,毛利蘭,8,,,,,,,,,,,,
40クリック目,,,,非表示,,,非表示,,,非表示,,,,,黒背景,999,IN
41クリック目,井戸原耕市,おい！ドアは開いているが、チェーンが掛かっていて部屋の中に入れないぞ！,,,,10,井戸原耕市,97,,,,,,,洋館,13,IN
42クリック目,嶋中郁江,"ノックをしたけど、お返事が無かったのでマスターキーで鍵を開けたんです！
そしたらドアチェーンが掛かっていて…中に…会長が！",5,嶋中郁江,99,,,,,,,,,,,,
43クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,…ロブ…あ、あなた！？…部屋の中に倒れているのは夫よ！早く！早く中に入って助けないと！！,,,,,,,10,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
44クリック目,トニー・シンプソン,…くそっ！！こうなったら、体当たりでドアを破ります！！（ドン！…ドン！…）,1,トニー・シンプソン,100,,,,,,,,,,,,
45クリック目,,（バキッ！…ガチャッ！！）,,,,,,,,,,,,,,,
46クリック目,トニー・シンプソン,チェーンが切れた！…会長！会長！しっかりしてください！！,,,,,,,,,,,,,洋館（赤の部屋）,22,
47クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,ロブ！……はっ！？これは…血…！？,,,,,,,,,,,,,,,
48クリック目,江戸川コナン,（…背中が血まみれだ！…何かで一突きされたみたいだ…）,,,,7,江戸川コナン,3,,,,,,,,,
49クリック目,毛利小五郎,…いったい何事ですか…！？あっ…こ、これは、メルドックさん…！？,,,,,,,10,毛利小五郎,4,,,,,,
50クリック目,工藤有希子,ロブ…！？どうしてこんな…！！,1,工藤有希子,94,,,,,,,,,,,,
51クリック目,江戸川コナン,（…窓は人が出入りできる大きさじゃない…入口はドアだけか…凶器は…？）,,,,13,江戸川コナン,3,,,,,,,,,
52クリック目,トニー・シンプソン,…ダメです…もう、脈がありません…,1,トニー・シンプソン,100,,,,,,,,,,,,
53クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,そんな！ああ…ロブ！！ひどいっ！いったい誰がこんなことを！？…,,,,,,,10,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
54クリック目,毛利蘭,…これって…殺人…事件よね…,7,毛利蘭,8,,,,,,,,,,,,
55クリック目,江戸川コナン,うん…（…それも、密室で起きた、妙なことだらけの殺人事件だ…）,,,,15,江戸川コナン,3,,,,,,,,,
