エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,横溝参悟,"毛利さん…！
関係者全員を集めたということは、事件の謎が、ついにわかったんですね！？",1,横溝参悟,20,,,,,,,,,,洋館（青の部屋）,26,IN
2クリック目,毛利小五郎,そう…この事件は、どう考えても、この船のプライベートエリアに入れた3人の内の誰かが犯人です！,,非表示,0,16,毛利小五郎,4,,,,,,,,,
3クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,でも…夫が殺された時刻には、私達は3人で一緒にいたのよ…！？,5,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,,,,,,,
4クリック目,毛利小五郎,"ええ、午後4時に皆さんが一緒にいたのは間違いのない事実です…
しかし、メルドックさんが殺されたのが、その時間ではなかったら、どうでしょう…？",,,,,,,,,,,,,,,
5クリック目,トニー・シンプソン,…なんですって！？,,,,1,トニー・シンプソン,100,,,,,,,,,
6クリック目,横溝参悟,しかし…遺体の死後硬直の状況は確かに…はっ…まさか！？,6,横溝参悟,20,,,,,,,,,,,,
7クリック目,江戸川コナン,"思い出しましたか？横溝警部…
死後硬直はある状況のもとでは通常よりも早く進むことがあるんです…",,,,16,江戸川コナン,3,,,,,,,,,
8クリック目,毛利小五郎,まず、気温が高い場合…,,,,16,毛利小五郎,4,,,,,,,,,
9クリック目,工藤有希子,そう…あの部屋、エアコンが効き過ぎてて、暑いくらいだったわ！,,,,,,,1,工藤有希子,94,,,,,,
10クリック目,毛利小五郎,そして、被害者が死ぬ直前まで、長時間、激しい運動をしていた場合です…,,,,,,,,,,,,,,,
11クリック目,毛利小五郎,"おそらく、メルドックさんは殺される直前までジムで激しい運動をしていたのでしょう…
あなたと一緒にね…井戸原耕市さん！！",,,,,,,,,,,,,,,
12クリック目,井戸原耕市,なっ…何の話ですか！いきなり！！,,,,,,,10,井戸原耕市,97,,,,,,
13クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,井戸原さん…！？あなた、まさか私の夫を…！？,10,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,,,,,,,
14クリック目,井戸原耕市,そんなバカな…いったい何を根拠にそんなことを…！？,,,,,,,5,井戸原耕市,97,,,,,,
15クリック目,毛利小五郎,"筋書きはこうです…3時45分に、メルドックさんは皆さんを残して一人でジムに向かい、
その後、4時30分にあなたは一人で部屋に戻った…",,,,,,,,,,,,,,,
16クリック目,毛利小五郎,"しかし、あなたが向かったのは自分の部屋ではなく、ジムだった…
そして、そこにはメルドックさんがいたはずです…もちろん、まだ彼はまだ生きていました…",,,,,,,,,,,,,,,
17クリック目,毛利蘭,じゃあ…ジムでメルドックさんと一緒にいたもう一人の人物は…井戸原さんなの！？,7,毛利蘭,8,,,,,,,,,,,,
18クリック目,毛利小五郎,"そこで、あなたはメルドックさんに勝負でも挑んだんじゃありませんか？
学生時代にやったように…スカッシュの勝負を…！！",,,,,,,,,,,,,,,
19クリック目,井戸原耕市,うっ…！！,,,,,,,,,,,,,,,
20クリック目,毛利小五郎,"私には経験はありませんが、スカッシュはかなり激しいスポーツですよね？
それを30分以上やってから、2人で船室に戻り…そこでメルドックさんを殺害した…",,,,,,,,,,,,,,,
21クリック目,江戸川コナン,"そして、エアコンの室温設定を上げ、
さらに直前までやっていたスカッシュの影響で死後硬直が通常よりも早く始まり、
私はうっかり騙されてしまったというわけです…",,,,16,江戸川コナン,3,,,,,,,,,
22クリック目,毛利小五郎,"メルドックさんが殺害されたのは…おそらく午後5時…
ドアの外から声をかけた船長に返事をしたのは…あなたですね？",,,,16,毛利小五郎,4,,,,,,,,,
23クリック目,工藤有希子,"…年齢が近くて、アメリカ暮らしの長い井戸原さんが、
短い英語を言ったくらいじゃ、船長がメルドックさんだと勘違いしてもおかしくないわ…",,,,,,,1,工藤有希子,94,,,,,,
24クリック目,毛利小五郎,"その時間…あなたはずっと自分の部屋に一人でいたと言いましたね…
つまり、あなたには本当の犯行時刻のアリバイが無いんですよ！！",,,,,,,,,,,,,,,
25クリック目,トニー・シンプソン,"しかし…会長の部屋が密室だったのは…？
あのとき、間違いなく僕がドアチェーンを壊して入ったんですよ！？",,,,1,トニー・シンプソン,100,,,,,,,,,
26クリック目,毛利小五郎,"ああ…あれは簡単なトリックです…
最初から、チェーンの鎖を工具でねじって外し、目立たない糸で外れた鎖同士を結んだだけです…",,,,16,毛利小五郎,4,,,,,,,,,
27クリック目,毛利小五郎,"そして、井戸原さんは、わざと「ドアチェーンがかかっている！」と言っておいて、
若いシンプソンさんに体当たりをさせ、密室であると我々に思い込ませたんです…",,,,,,,,,,,,,,,
28クリック目,毛利小五郎,ま…子供だまし、ですな…,,,,,,,,,,,,,,,
29クリック目,阿笠博士,"まあ、そのトリックの証拠を見つけたのはこの子らじゃから…
子供もだませなかったということじゃがな…",15,阿笠博士,6,,,,,,,,,,,,
30クリック目,小嶋元太,そうだ！そうだ！,,,,7,小嶋元太,17,,,,,,,,,
31クリック目,井戸原耕市,"…証拠は…証拠はどこにあるって言うんです！？
この私がやったという証拠が無いでしょう！？
凶器だって見つかってない！！",,,,,,,10,井戸原耕市,97,,,,,,
32クリック目,毛利小五郎,"ここは沖合の船の上ですからねえ…
返り血のついた自分のトレーニングウェアと、凶器のナイフを、
こっそり海に投げ捨てるのくらい、簡単にできたしょう…",,,,16,毛利小五郎,4,,,,,,,,,
33クリック目,井戸原耕市,じゃあ…証拠はどこにも無いってことじゃないか…！！,,,,,,,,,,,,,,,
34クリック目,毛利小五郎,まあ…そうですね…,,,,,,,,,,,,,,,
35クリック目,横溝参悟,え…？あの…毛利さん…？,6,横溝参悟,20,,,,,,,,,,,,
36クリック目,工藤有希子,ジムにあった用具は、どれを使ったかわからないくらいキレイに片づけられていたわね…,,,,,,,7,工藤有希子,94,,,,,,
37クリック目,毛利小五郎,"まあ、死亡推定時刻を偽装するほどのトリックを考えた人ですから、
スカッシュをやったことがバレて自分が疑われるような証拠は残さないでしょうね…",,,,,,,,,,,,,,,
38クリック目,井戸原耕市,証拠が無いのなら、何を言ったところで私を犯人だと決めつけることはできないはずだ！,,,,,,,10,井戸原耕市,97,,,,,,
39クリック目,毛利小五郎,"ラケットやボールの指紋も拭き取り…ウェアも海に捨てた…
でも、井戸原さん…何かをひとつ忘れてはいませんか…？",,,,,,,,,,,,,,,
40クリック目,井戸原耕市,なっ…何！？,,非表示,0,,,,,,,,,,,,
41クリック目,江戸川コナン,それは…靴…つまり、ジムにあるスカッシュ専用シューズですよ！！,,,,16,江戸川コナン,3,,,,スカッシュシューズ,40001,左,,,
42クリック目,井戸原耕市,シューズだって？靴がいったい何の証拠になると言うんだ！？,,,,,,,,,,,,,,,
43クリック目,毛利小五郎,"横溝警部…靴というのは、非常に重要な証拠品ですよね…
それを履いた人の汗や皮膚組織が内側に残りやすい…DNA鑑定をすれば…それが誰の物か…",,,,16,毛利小五郎,4,,,,,,,,,
44クリック目,井戸原耕市,うっ…それは…！,,,,,,,,,,,,左：非表示,,,
45クリック目,横溝参悟,…すぐにわかるでしょうね…1足はメルドックさんでしょう…そして、もう1足は…,1,横溝参悟,20,,,,,,,,,,,,
46クリック目,井戸原耕市,……わ、私ですよ…もう1足はね…,,,,,,,5,井戸原耕市,97,,,,,,
47クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,じゃあ…やっぱり、あなたが…犯人なの！？,10,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,,,,,,,
48クリック目,毛利小五郎,"ついでに言えば…6時前に井戸原さんはデッキにいるのを目撃されています…
その時に証拠品を海へ捨てたんじゃありませんか…？",,,,,,,,,,,,,,,
49クリック目,井戸原耕市,"そう…すべて、その通りだ…私がロブ・メルドックを殺した…
ああ、しかし、過去の恨みなんて、とっくの昔に忘れていましたがね…",,,,,,,2,井戸原耕市,97,,,,,,
50クリック目,毛利蘭,じゃあ…どうして！？,7,毛利蘭,8,,,,,,,,,,,,
51クリック目,井戸原耕市,"私は彼と袂を分かった後で、日本で会社を作り、成功させました…
だから、もう過去のことは水に流していたんですよ…つい、この間まではね…",,,,,,,,,,,,,,,
52クリック目,工藤有希子,最近…2人の間に何かがあったのね…？,,,,,,,1,工藤有希子,94,,,,,,
53クリック目,井戸原耕市,"買収ですよ…
メルドックは、今の私の会社が持つ技術に目をつけて、あつかましくも買収工作を仕掛けてきたんですよ…！",,,,,,,10,井戸原耕市,97,,,,,,
54クリック目,井戸原耕市,"私は心から彼を憎みました…
過去に私を追い出しておきながら、今度は自分の会社の傘下になれと強引な誘いをかけてきたんです…",,,,,,,5,井戸原耕市,97,,,,,,
55クリック目,井戸原耕市,"私は何としても、自分の会社を彼の手から守りたかった…
それが無理なら…あの男の命を奪おうと…そう思って…",,,,,,,,,,,,,,,
56クリック目,トニー・シンプソン,じゃあ…この船に乗ったのは…？,,,,1,トニー・シンプソン,100,,,,,,,,,
57クリック目,井戸原耕市,"彼の買収に応じるとウソをついたんです…
彼は大喜びで私も招待してくれましたよ…
それも、家族しか入れないプライベートエリアにまでね…",,,,,,,2,井戸原耕市,97,,,,,,
58クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,…そんな……,5,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,,,,,,,
59クリック目,横溝参悟,…井戸原さん…港に戻ったら、私と一緒に来ていただきますよ…,1,横溝参悟,20,,,,,,,,,,,,
60クリック目,井戸原耕市,ええ…しかし…ふっ、ふふ…,,,,,,,,,,,,,,,
61クリック目,円谷光彦,え…笑って…ますよ？,10,円谷光彦,15,,,,,,,,,,,,
62クリック目,井戸原耕市,ふふふ…私は、残念ですが、裁判が終わるまでは生きていられないでしょうね…,,,,,,,,,,,,,,,
63クリック目,江戸川コナン,えっ…！？,,,,16,江戸川コナン,3,,,,,,,,,
64クリック目,井戸原耕市,"私は…ガンで余命宣告を受けているんですよ…
もう、長くはありません…
だから…ふふふ…これで満足しているんです…",,,,,,,,,,,,,,,
65クリック目,毛利蘭,ずっと井戸原さんの顔色が悪かったのは、そのせい…？,7,毛利蘭,8,,,,,,,,,,,,
66クリック目,井戸原耕市,"あの男に、私の怒りをすべて、ぶつけてやったんですよ！
人生の最後にね…
ははっ…はははははは！！！",,,,,,,,,,,,,,,
67クリック目,吉田歩美,おじさん…怖いっ…,5,吉田歩美,12,,,,,,,,,,,,
68クリック目,工藤有希子,井戸原さん…,,,,,,,1,工藤有希子,94,,,,,,
69クリック目,江戸川コナン,（……）,,,,20,江戸川コナン,3,,,,,,,,,
