エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,毛利小五郎,ほら！お前達！とっとと帰るぞ…！,11,毛利小五郎,4,,,,,,,,,,洋館,13,IN
2クリック目,小嶋元太,あーあ！結局、パーティは中止で、ごちそうを何も食えなかったじゃんか！,,,,,,,5,小嶋元太,17,,,,,,
3クリック目,円谷光彦,元太君！殺人事件が無事解決したんだから、それでいいじゃありませんか！,,,,1,円谷光彦,15,,,,,,,,,
4クリック目,吉田歩美,それに、ちょっとの間だったけど、あんな素敵な船に乗れて、楽しかったよ！,1,吉田歩美,12,,,,,,,,,,,,
5クリック目,灰原哀,まあ、確かに…めったに乗れないような豪華クルーザーだったけど…,11,灰原哀,9,,,,,,,,,,,,
6クリック目,阿笠博士,あんな事件がなけりゃ、楽しい船旅になったんじゃろうがのお…,,,,15,阿笠博士,6,,,,,,,,,
7クリック目,江戸川コナン,うーん…スッキリしねー…,,,,,,,13,江戸川コナン,3,,,,,,
8クリック目,工藤有希子,あら…どうしたの…新ちゃん？,,,,2,工藤有希子,94,,,,,,,,,
9クリック目,江戸川コナン,"事件を解決できたのはいいけど…
結局、父さんにヒントをもらったみたいで、何だかスッキリしねーんだよ…",,,,,,,11,江戸川コナン,3,,,,,,
10クリック目,工藤有希子,"そんな細かいことはいいじゃない！
今回の事件は、ほとんど私と新ちゃんで解決したようなものよっ！！",,,,,,,,,,,,,,,
11クリック目,工藤優作,はっはっは…まあ、今回はそういう事にしてやってもいいぞ！…ん？,2,工藤優作,93,,,,,,,,,,,,
12クリック目,江戸川コナン,なーにが、してやってもいい、だよ！…ったく！,,,,,,,,,,,,,,,
13クリック目,毛利蘭,コナンくーん！何してるの、もう行くよー！！,,,,,,,1,毛利蘭,8,,,,,,
14クリック目,江戸川コナン,"あ…う、うん！わかったよ、蘭姉ちゃん！
（ちぇっ…）",,,,,,,2,江戸川コナン,3,,,,,,
