正解ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情,左キャラ名,カードID,表情,中央キャラ,カードID,表情,右キャラ,カードID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,毛利小五郎,よーし！！トップでゴールだああ！！,26,毛利小五郎,4,,,,,,,,,,遊園地,29,IN
2クリック目,小嶋元太,何ぃ！？オレ達の方がちょっと早かったぞぉ…！！,,,,,,,7,小嶋元太,17,,,,,,
3クリック目,西園雄二,"毛利探偵と少年探偵団チーム！ほとんど同時のゴールです！
さあ、正解を見つけることはできたのか！？…そして勝ったのは！？",,,,1,西園雄二,85,,,,,,,,,
4クリック目,沖野ヨーコ,"今回は三つもヒントの文字が抜けちゃってます！
<font color='#FF9D9D'>抜けている文字は「イ」と「エ」と「ウ」</font>でした！",,非表示,0,1,沖野ヨーコ,21,,非表示,0,,,,,,
5クリック目,沖野ヨーコ,"暗号は「アツイイヌヲエイゴデイウ」…
ということで…正解は「<font color='#FF9D9D'>ホットドッグ</font>」でしたー！",,,,2,沖野ヨーコ,21,,,,,,,,,
6クリック目,沖野ヨーコ,"それでは、宝探しゲームの優勝チームを発表します！
優勝は………少年探偵団チーム！",,,,,,,,,,,,,,,
7クリック目,毛利小五郎,な、なにぃいいい！？,10,毛利小五郎,4,,,,,,,,,,,,
8クリック目,小嶋元太,いょぉおおっし！やったぜ！,,,,,,,3,小嶋元太,17,,,,,,
9クリック目,吉田歩美,わーいっ！優勝！,3,吉田歩美,12,,,,,,,,,,,,
10クリック目,円谷光彦,やりましたね！,,,,2,円谷光彦,15,,,,,,,,,
11クリック目,毛利小五郎,そ、そんな…あんなに集めたのに、優勝を阻止できなかったとは…！,10,毛利小五郎,4,,,,,,,,,,,,
12クリック目,沖野ヨーコ,"毛利さん、今日は本当にありがとうございました！
おかげでイベントは大盛り上がりでしたよ！さすが毛利さんです！",,,,2,沖野ヨーコ,21,,非表示,0,,,,,,
13クリック目,毛利小五郎,"い、いやぁ…そ、それほどでも！
ヨーコちゃんのお役にたてて何よりですよ！…はは、はははは…はあ…",11,毛利小五郎,4,,,,,,,,,,,,
