ステージ8導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,沖野ヨーコ,"今回の宝物は、このカフェの中に隠されてます！
よーく探して見よう！！",,,,2,沖野ヨーコ,21,,,,,,,遊園地,29,IN
2クリック目,毛利小五郎,この名探偵、毛利小五郎の手にかかれば…ほら、またひとつヒント発見！,,,,,,,2,毛利小五郎,4,,,,,,
3クリック目,豊島遊美,ねぇ、おじさん、おじさんはどうしてすぐに見つけられるの？,,,,1,豊島遊美,82,,,,,,,,,
4クリック目,毛利小五郎,フっ…それはな…俺が名探偵っ！だからだ！,,,,,,,,,,,,,,,
5クリック目,東たけし,"えーっ、それじゃ答えになってないよぉ！
何かコツとか教えてよ！",1,東たけし,81,,,,,,,,,,,,
6クリック目,豊島遊美,教えて！ねー教えて、教えて！,,,,,,,,,,,,,,,
7クリック目,毛利小五郎,しょうがねぇなぁ…本来なら企業秘密だが、今日は特別に教えてやろう！,,,,,,,11,毛利小五郎,4,,,,,,
8クリック目,毛利小五郎,"ウォッホンっ！
まずはそこにある物で、不自然なものがないか、気を付けて見るんだ…",,,,,,,12,毛利小五郎,4,,,,,,
9クリック目,沖野ヨーコ,"（子供たちにヒントの見つけた方を教えてあげてるわ…さすが毛利さん！
細かいところまで気配りしてくれてる！）",,,,1,沖野ヨーコ,21,,,,,,,,,
10クリック目,毛利小五郎,ほら！またひとつ見ーっけ！,,,,,,,27,毛利小五郎,4,,,,,,
11クリック目,東たけし,あぁっ！おじさんずるーいっ！,1,東たけし,81,,,,,,,,,,,,
12クリック目,沖野ヨーコ,"（そして先生役からライバルに！見事な切り替えだわ、毛利さん！おかけでみんな
盛り上がってるわ！）",,,,,,,,,,,,,,,
