ステージ2導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,沖野ヨーコ,さぁ、今度はカフェの中に隠されているわよ！,,,,2,沖野ヨーコ,21,,,,,,,遊園地,29,IN
2クリック目,毛利小五郎,"ワハハハ！遅かったな！
ここのヒントの一つはすでにいただいたぞ！",,,,27,毛利小五郎,4,,,,,,,,,
3クリック目,東たけし,ああっ！またあのおじさんに取られた～っ！,1,東たけし,81,,,,,,,,,,,,
4クリック目,円谷光彦,子供相手に…大人げないですよ！,,,,,,,10,円谷光彦,15,,,,,,
5クリック目,灰田富士夫,ぐぬぬぬ…あんなヤツに、ヨーコちゃんの唇を渡してなるものかーっ！,,,,1,灰田富士夫,84,,,,,,,,,
6クリック目,江戸川コナン,（子ども相手に本気になってる大人が多いな…）,22,江戸川コナン,3,,,,,,,,,,,,
7クリック目,小嶋元太,ちっくしょ～、みんな本気出して行くぜー！,,,,3,小嶋元太,17,,,,,,,,,
8クリック目,吉田歩美,うんっ！歩美がんばる！,3,吉田歩美,12,,,,,,,,,,,,
9クリック目,円谷光彦,負けませんよ！,,,,,,,4,円谷光彦,15,,,,,,
10クリック目,毛利蘭,もぉっ、お父さんたらっ！恥ずかしいなぁ～,,非表示,0,7,毛利蘭,8,,非表示,0,,,,,,
