ステージ2導入ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,小嶋元太,はあ…,5,小嶋元太,17,1,円谷光彦,15,1,吉田歩美,12,,,,マンション,8,IN,,,,,
2クリック目,円谷光彦,どうしたんですか、元太君？…元気がありませんね…,,,,,,,,,,,,,,,,,,,,
3クリック目,小嶋元太,オレ、テストって聞いただけで、なんか腹が痛くってよお…,,,,,,,,,,,,,,,,,,,,
4クリック目,吉田歩美,"テストと言ってもコナン君が考えた推理力テストだよ！元太君が嫌いなのは算数や
国語のテストでしょ？",,,,,,,,,,,,,,,,,,,,
5クリック目,小嶋元太,でもテストはテストだろ…はあ…,,,,,,,,,,,,,,,,,,,,
6クリック目,円谷光彦,しょうがないですね…あれ？この暗号文の問題って…,,,,14,円谷光彦,15,,,,,,,,,,,,,,
7クリック目,吉田歩美,どうしたの？光彦君…,,,,,,,,,,,,,,,,,,,,
8クリック目,円谷光彦,この「問題」って、わざわざひらがなで「もんだい」って書いてありますよね…？,,,,2,円谷光彦,15,,,,,,,,,,,,,,
9クリック目,小嶋元太,そうなのか？こんな字知らねーぞ…,,,,,,,,,,,,,,,,,,,,
10クリック目,円谷光彦,"元太君！これはもしかすると、暗号文は「ひらがな」だってことを示してるのかも
知れませんよ！",,,,,,,,,,,,,,,,,,,,
11クリック目,小嶋元太,おぉ！やるじゃねーか光彦！,1,小嶋元太,17,,,,,,,,,,,,,,,,,
