調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,吉本花子,"まったく……
一体誰の仕業なのかねぇ……
困ったもんだよ！",1,江戸川コナン,3,1,吉本花子,42,,,,,,,公園,3,IN
2クリック目,江戸川コナン,…どうかしたの？おばあちゃん？,,,,,,,,,,,,,,,
3クリック目,吉本花子,"あら、坊や……
最近困った事があってね…
アタシの話を聞くかい？",,,,,,,,,,,,,,,
4クリック目,江戸川コナン,"うん！
ボクで良ければ力になるよ！",,,,,,,,,,,,,,,
5クリック目,吉本花子,"実はここ最近、夜になると<font color='#FF9D9D'>公園で大きな音を立てる人が居てね</font>……
アタシは近所に住んでいるもんだから、その音にとても迷惑しているのよ……",,,,,,,,,,,,,,,
6クリック目,江戸川コナン,"それは困ったね……
公園に行って注意はしてみたの？",,,,,,,,,,,,,,,
7クリック目,吉本花子,"それが音が聞こえてから公園に行っても、
いつも誰もいないのよ……",,,,,,,,,,,,,,,
8クリック目,江戸川コナン,"うーん……不思議だね……
いつも何時頃にその音がするの？",,,,,,,,,,,,,,,
9クリック目,吉本花子,"音がする時間はいつも夜なんだけど、決まった時間に、というわけでもないわね…
毎日というわけでもないし…
ただ、音は同じで<font color='#FF9D9D'>「シャー」っていう何かが滑るような音</font>なの……",,,,,,,,,,,,,,,
10クリック目,江戸川コナン,"（これだけじゃわからないな……）
ちょっと公園を調べてみるね！",,,,,,,,,,,,,,,
11クリック目,吉本花子,"坊やにわかるかねぇ……
昨日もその音がしたんだけどね…",,,,,,,,,,,,,,,
12クリック目,江戸川コナン,"地面が結構ぬかるんでるな…
そういや昨日は雨だった……
……ん？あれは……？",14,江戸川コナン,3,,,,,,,,,,,,
13クリック目,江戸川コナン,"地面にハンカチが落ちている……
まわりに足跡は無いから雨が降る前に落ちたのか？
上に何かが通った跡があるぞ！これは<font color='#FF9D9D'>車輪のようなものが通った跡</font>か……？",,,,,,,,,,,,,,,
14クリック目,江戸川コナン,"地面にも同じような跡があるけど…
間隔が開いて途切れ途切れになってる…
妙だな……周りに靴跡は無いし……",,,,,,,,,,,,,,,
15クリック目,吉本花子,坊や、何か分かったかい？,,,,,,,,,,,,,,,
16クリック目,江戸川コナン,"ごめんね、おばあちゃん……
まだわからないや！
おばあちゃんは、怪しい人とか知らない？",1,江戸川コナン,3,,,,,,,,,,,,
17クリック目,吉本花子,…うーんと、そうだねぇ…,,,,,,,,,,,,,,,
18クリック目,江戸川コナン,"……
公園には車輪みたいな跡がついていたから、
それが関係あると思うんだけど…",,,,,,,,,,,,,,,
19クリック目,吉本花子,"車輪ね…車輪に関係している人なら…
お孫さんと<font color='#FF9D9D'>ミニカーで遊んでるおじいさん</font>がいたねぇ…",,,,,,,,,,田辺順平,43,右,,,
20クリック目,吉本花子,あとは<font color='#FF9D9D'>リモコンで動く車を持った男の子</font>がよく遊んでるよ…,,,,,,,,,,兵藤まさる,61,右,,,
21クリック目,吉本花子,ほかには…<font color='#FF9D9D'>車輪がついた靴を履いてた高校生の男の子</font>がよく通りかかるね…,,,,,,,,,,勝俣ヒロシ,56,右,,,
22クリック目,江戸川コナン,"<font color='#FF9D9D'>ラジコン</font>と<font color='#FF9D9D'>ローラースケート</font>のことだね！
そうなると…",,,,,,,,,,,,,,,
23クリック目,江戸川コナン,"ハンカチについた車輪のような跡……
地面についた途切れ途切れの……
……！もしかして音の主はあの人かもしれない！",15,江戸川コナン,3,,,,,,,,,,,,
