公園,,,Lv2,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,ローラーブレード,,0
事件現場（物探し）,,,公園,,0
クエストレベル,,,2,,0
依頼現場／対決場所,,,公園,,0
事件名,,,騒音主を探せ！,,0
事件概要,,,コナンが公園を通りかかると、おばあちゃんがきょろきょろして、困っていた。コナンが尋ねると最近夜の公園で騒ぐ連中が現れだし、公園のすぐ近くに住んでいるため騒音で迷惑をしていた。騒音が聞こえてから公園へ出向く間に、騒音主はどこかへ行ってしまうらしく、現れる時間や曜日もマチマチという事だった。その騒音は何か車輪が滑るような「シャー」という音らしい。コナンが公園を調べてみると、スコールのような雨が夕方に降った事もあり、地面はぬかるんでいた。コナンは一枚のハンカチに気づいた。ハンカチの上を何かが通った後があった。ハンカチのある場所まで続いている轍を辿ってみると、途中で途絶えた後、また始まったりというのが繰り返されている。公園の近くに住む人や、公園によく通う人にコナンが聞き込みをした結果、容疑者はローラーブレードで遊んでいた男子高校生、孫とミニカーで遊んでいたおじいちゃん。ラジコンで遊んでいたガキ大将の三人に絞られた。ハンカチの周辺に靴跡はなかった。以上の条件から犯人を特定せよ。,,
依頼者,,,吉本花子,,0
犯人名,,,勝俣ヒロシ,,0
はずれ容疑者、物証①,,,田辺順平,：ミニカー,
はずれ容疑者、物証②,,,兵藤まさる,：ラジコン,
はずれ容疑者、物証③,,,,,
