調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,"あ、蘭姉ちゃん！　お買い物の帰り？
その袋どうしたの？",3,江戸川コナン,3,1,毛利蘭,8,,,,,,,住宅街,2,IN
2クリック目,毛利蘭,あらコナン君、どうしたのって……,,,,,,,,,,,,,,,
3クリック目,毛利蘭,ええっ！　やだっ！　お醤油がこぼれてる！,,,,7,毛利蘭,8,,,,,,,,,
4クリック目,江戸川コナン,"これって、最近流行っている鮮度を保てる醤油パックってやつだよね！
ふうん……パウチパックなんだ……",,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"(醤油パックの真ん中付近に小さな穴が空いている……
鋭くとがった何かで刺したみたいな穴だ……)",15,江戸川コナン,3,,,,,,,,,,,,
6クリック目,毛利蘭,"でも変ね？　お店で確認した時はそんな穴、
空いていなかったのに……",,,,13,毛利蘭,8,,,,,,,,,
7クリック目,江戸川コナン,"ふうん……　ねえ、蘭姉ちゃん……
お店に行った後どこかに寄り道した？",3,江戸川コナン,3,,,,,,,,,,,,
8クリック目,毛利蘭,"そういえば<font color='#FF9D9D'>阿笠博士</font>のところに寄ったわ……
研究所に少しの間荷物を置かせてもらったの……",,,,,,,,,,阿笠博士,6,右,,,
9クリック目,江戸川コナン,"その時、研究室にいた誰かがいたずらしたのかもしれないね……
蘭姉ちゃん、研究室で誰が何をしていたか覚えてる？",,,,,,,,,,,,右：非表示,,,
10クリック目,毛利蘭,"えっと……たしか<font color='#FF9D9D'>歩美ちゃんと光彦君と元太君</font>がいたわ……
歩美ちゃんは<font color='#FF9D9D'>スポイト</font>で何かの液体を小ビンに移し替えようとしていたかな？
何の液体かはわからなかったけど…",,,,3,毛利蘭,8,,,,スポイト,100,右,,,
11クリック目,江戸川コナン,うんうん　それから？,,,,,,,,,,,,右：非表示,,,
12クリック目,毛利蘭,"<font color='#FF9D9D'>薬のカプセル</font>をじゃらじゃらと机の上に並べていたのは光彦君だった……
カラフルでけっこうキレイだったよ！",,,,,,,,,,薬品カプセル,102,右,,,
13クリック目,毛利蘭,"あと元太君がじっと手元を見ているから何かと思ったら、<font color='#FF9D9D'>注射器</font>なの！
あれも実験道具なのかな？",,,,12,毛利蘭,8,,,,注射器,111,右,,,
14クリック目,江戸川コナン,"実験ではけっこう色々な物を使うからね……
でもまあ今の話でいたずらをした犯人の見当はついたかな……",2,江戸川コナン,3,,,,,,,,,右：非表示,,,
15クリック目,毛利蘭,"え！
本当に？",,,,3,毛利蘭,8,,,,,,,,,
16クリック目,江戸川コナン,"うん！
じゃあ、ボクと一緒に本人に直接聞いてみようよ！",12,江戸川コナン,3,,,,,,,,,,,,
