ステージ5導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,阿笠博士,何だか浮かない顔じゃの…横溝刑事？,1,阿笠博士,6,,,,,,,,,,洋館,13,IN
2クリック目,横溝参悟,"いやあ…3人の身辺調査がなかなか進まず、困ってまして…
何せ、アメリカの方々ですから、情報がすぐに集まらなくて…",,,,5,横溝参悟,20,,,,,,,,,
3クリック目,毛利小五郎,…ったく、役に立たねえなあ…,,,,,,,11,毛利小五郎,4,,,,,,
4クリック目,毛利蘭,お父さん！そういう事を言わないの！,7,毛利蘭,8,,,,,,,,,,,,
5クリック目,工藤有希子,"そうね…私が向こうで聞いた限りでも、ゴシップしかないわね…
あのメリンダさんは財産目当てで歳の離れた相手と結婚したんだ…とかね…",,,,1,工藤有希子,94,,,,,,,,,
6クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,"そうよ…私が、
夫が死ぬのを待ってるとか…そんな噂ばっかりよ！",,,,,,,10,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
7クリック目,毛利蘭,メリンダさん！？,,,,,,,,,,,,,,,
8クリック目,工藤有希子,メリンダ！…誤解しないで！私達はそんな噂を信じてるわけじゃないのよ！,,,,,,,,,,,,,,,
9クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,"いいの…わかってるから…でも、ゴシップ好きの連中が喜ぶでしょうね…
夫が…あんなことになって…",,,,,,,5,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
10クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,"ついでに言えば、あの人…いろんな所から恨みを買っていたわ…
会社を大きくするために、かなり強引なことをやってきたから…",,,,,,,2,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
11クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,彼…シンプソンも、その犠牲者なのよ…,,,,,,,,,,,,,,,
12クリック目,工藤有希子,ええっ…！？,,,,,,,,,,,,,,,
13クリック目,トニー・シンプソン,そ、そんな…僕は恨みなんて！,1,トニー・シンプソン,100,,,,,,,,,,,,
14クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,"でも、あなたのお父さんが経営していた会社は、夫に乗っ取られた…
そして、すべてを失ったあなたのお父さんは…",,,,,,,,,,,,,,,
15クリック目,トニー・シンプソン,確かに…僕の父は会社を奪われた後、すぐに病気になり、十分な治療も受けられずに死にました…,,,,,,,,,,,,,,,
16クリック目,毛利蘭,そんなことが…,7,毛利蘭,8,,,,,,,,,,,,
17クリック目,トニー・シンプソン,"だけど、メルドック会長は、そんな僕を秘書として雇ってくれたんです…
そしてビジネスマンとして育ててくれました…だから、恨みなんて、もう…",1,トニー・シンプソン,100,,,,,,,,,,,,
18クリック目,江戸川コナン,（そうか…メルドックさんとシンプソンさん…そんな関係だったのか…）,,,,15,江戸川コナン,3,,,,,,,,,
19クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,"どうかしらね…それは、あなたが優秀だったから…それだけかもよ…
その才能を自分のために利用しようとして、あなたを自分の側に置いただけかもしれないわ…",,,,,,,,,,,,,,,
20クリック目,工藤有希子,メリンダ…あなた、何てことを…！？,,,,1,工藤有希子,94,,,,,,,,,
21クリック目,阿笠博士,こりゃ、いかんな…ヤケを起こして、相当酔っぱらっておるようじゃ…,15,阿笠博士,6,,,,,,,,,,,,
22クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,"どうして…どうして、あんなことになったのよ！
私はこれからどうすればいいのよ！！
うっ…ううっ…！！",,,,,,,10,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,
23クリック目,工藤有希子,"メリンダ！
あなたの気持ちはわかるわ…もう、部屋で休みましょう…ねっ…",,,,5,工藤有希子,94,,,,,,,,,
24クリック目,トニー・シンプソン,僕も、手を貸します…行きましょう…,1,トニー・シンプソン,100,,,,,,,,,,,,
25クリック目,毛利蘭,はあ…大金持ちや有名な人の奥さんって…いろいろ大変なのね…,13,毛利蘭,8,,非表示,0,,非表示,0,,,,,,
26クリック目,江戸川コナン,えっ…？,,,,10,江戸川コナン,3,,,,,,,,,
27クリック目,毛利蘭,私は…普通でいいから、ちゃーんと心が通じ合ってる人と結婚したいなあ…,1,毛利蘭,8,,,,,,,,,,,,
28クリック目,毛利小五郎,おい、蘭…何の話をしてんだ…？,,,,,,,10,毛利小五郎,4,,,,,,
29クリック目,江戸川コナン,（ちゃんと心が通じ合ってる…か…って、そんなこと考えてる場合じゃねー！）,,,,7,江戸川コナン,3,,,,,,,,,
30クリック目,江戸川コナン,（…井戸原さんのことを、もっと調べてみるか…）,,,,,,,,,,,,,,,
