ステージ１導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,鷹梨路子,"あの…警部さん…父の日記を見返していたんですが…
ちょっと気になる内容を見つけたんです…",,,,5,鷹梨路子,78,,,,,,,旧公家屋敷の日本間,28,IN
2クリック目,綾小路文麿,気になる内容…？,7,綾小路文麿,36,,,,,,,,,,,,
3クリック目,鷹梨路子,"はい…亡くなる１週間前の日付なんですが…
「あの手紙を持っていた　本当にみどりの息子かもしれない」…と…",,,,,,,,,,,,,,,
4クリック目,毛利蘭,みどり…って、女の人の名前？,,,,,,,13,毛利蘭,8,,,,,,
5クリック目,江戸川コナン,（…みどり…その息子…？）,14,江戸川コナン,3,,,,,,,,,,,,
6クリック目,毛利小五郎,路子さん、何か心当たりはありませんか？,,,,,,,7,毛利小五郎,4,,,,,,
7クリック目,鷹梨路子,"詳しいことはわからないのですが…父が母と結婚する前に、お付き合いしていた
女性がいたというのは、聞いた事があります…",,,,,,,,,,,,,,,
8クリック目,鷹梨路子,"父は何も言いませんでしたが…おしゃべり好きの叔母から、父が昔芸妓さんと
付き合っていて、大恋愛だったと聞きました…",,,,,,,,,,,,,,,
9クリック目,鷹梨路子,"でも、家柄が違いすぎると、私の祖父母や親戚みんなが猛反対して、無理やり
別れさせられたらしいんです…",,,,,,,,,,,,,,,
10クリック目,毛利小五郎,お父上に、そんな過去が…,,,,,,,7,毛利小五郎,4,,,,,,
11クリック目,鷹梨路子,"父は思いつめて、その女性と駆け落ちしようとまで思ったそうです…
でも、結局、その女性が身を引いて姿を消してしまった…",,,,,,,,,,,,,,,
12クリック目,遠山和葉,その人の名前は…なんて言うん？,1,遠山和葉,11,,,,,,,,,,,,
13クリック目,鷹梨路子,みどり…という名前だったそうです…,,,,,,,,,,,,,,,
14クリック目,服部平次,じゃあ…この「みどりの息子」というのは、もしや…道明さんとの…子供っちゅうことか？,,,,,,,15,服部平次,5,,,,,,
15クリック目,鷹梨路子,…そこまでは、わかりません…,,,,,,,,,,,,,,,
16クリック目,遠山和葉,"でも、この日記の文章やと、そのみどりさんの息子かもしれない
人物が道明さんをたずねてきた…って読めへん？",,,,,,,,,,,,,,,
17クリック目,服部平次,路子さん、誰かそれらしい人は家に来てへんのか！？,,,,,,,,,,,,,,,
18クリック目,鷹梨路子,いいえ！…そんな人は、誰も家には来ていません…,,,,,,,,,,,,,,,
19クリック目,綾小路文麿,そうどすか…道明さんが亡くなった今となってしもたら、手がかりは無し…,1,綾小路文麿,36,,,,,,,,,,,,
20クリック目,毛利小五郎,しかし、そんな息子がいたとして、道明さんの死に関係あるのか？,,,,,,,7,毛利小五郎,4,,,,,,
21クリック目,毛利蘭,うーん…それは、わからないわよね…,,,,,,,7,毛利蘭,8,,,,,,
22クリック目,,,,非表示,0,,非表示,0,,非表示,0,,,,,,
23クリック目,江戸川コナン,"（確かに関係はわからないけど…きっとこの家に来ているはずだ…
自分の正体を、道明さん以外の人には隠して…）",15,江戸川コナン,3,,,,,,,,,,,,
