調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,吉田歩美,うーん…なんだろう？,5,吉田歩美,12,,,,,,,,,,百貨店,9,IN,,,,,
2クリック目,円谷光彦,イモの前…イモの前…,,,,5,円谷光彦,15,,,,,,,,,,,,,,
3クリック目,小嶋元太,あー、なんか焼きイモ食いたくなってきた！,1,小嶋元太,17,,,,,,,,,,,,,,,,,
4クリック目,江戸川コナン,（なんだあいつら？皆して何を悩んでんだ…？）,,,,,,,5,江戸川コナン,3,,,,,,,,,,,
5クリック目,江戸川コナン,"おーい！何やってんだ？
工作用の材料なら今買って来た接着剤で全部揃っただろ？",,"非表示",0,,"非表示",0,,,,,,,,,,,,,,
6クリック目,円谷光彦,それがですね、阿笠博士にクイズを出題されたんですよ…,,,,1,円谷光彦,15,,,,,,,,,,,,,,
7クリック目,江戸川コナン,（デパートに来てまでクイズか…はは…博士も好きだよな…）,,,,,,,22,江戸川コナン,3,,,,,,,,,,,
8クリック目,阿笠博士,"デパートの品物が名簿順に並んでいます…
<font color='#FF9D9D'>イモの前に並んでいるのは何でしょう？</font>って問題じゃ！",,,,12,阿笠博士,6,,,,,,,,,,,,,,
9クリック目,小嶋元太,野菜売り場のイモの前にあったのは、玉ねぎだったよな？,1,小嶋元太,17,,,,1,江戸川コナン,3,,,,,,,,,,,
10クリック目,吉田歩美,"それは前っていうより下じゃない？
おイモの棚の下の段にあったもん…",1,吉田歩美,12,,,,,,,,,,,,,,,,,
11クリック目,円谷光彦,"そもそも「前」というのが入口から見て前なのか、
それとも反対側の棚に並んでいるものを指すのか…
どっちなんでしょうか？",,,,1,円谷光彦,15,,,,,,,,,,,,,,
12クリック目,江戸川コナン,"「前」だけ考えたんじゃダメだよ！
名簿順っていうのがヒントさ…",,,,,,,,,,,,,,,,,,,,
13クリック目,小嶋元太,"よーし！
じゃあ…ここはオレのカンで！！",2,小嶋元太,17,,,,,,,,,,,,,,,,,
14クリック目,江戸川コナン,（…だから考えろっつーの…）,,,,,,,5,江戸川コナン,3,,,,,,,,,,,
