ステージ2導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,灰原哀,この河川敷に宝物を隠しておいたわ……見つけられるかしら？,,,,2,灰原哀,9,,,,,,,河川敷,15,IN
2クリック目,小嶋元太,おー！絶対に見つけてやるぜ！,3,小嶋元太,17,,,,,,,,,,,,
3クリック目,毛利蘭,あら…？みんな、何をして遊んでるの？,,,,3,毛利蘭,8,,,,,,,,,
4クリック目,吉田歩美,"あ、蘭お姉さん！
今ね、阿笠博士が考えた、宝さがしゲームをしてるの！",,,,,,,2,吉田歩美,12,,,,,,
5クリック目,円谷光彦,蘭さんは何をされてるんですか？,1,円谷光彦,15,,,,,,,,,,,,
6クリック目,毛利蘭,園子に誘われて、テニスに行くところなの！,,,,2,毛利蘭,8,,,,,,,,,
7クリック目,江戸川コナン,蘭姉ちゃん、今日おじさんは？,,,,,,,3,江戸川コナン,3,,,,,,
8クリック目,毛利蘭,"お父さんったら、「夏はビールだー！」って言って、
ビアガーデンにでかけたわ…夜まで帰って来ないと思う…",,,,9,毛利蘭,8,,,,,,,,,
9クリック目,江戸川コナン,そうなんだ！蘭姉ちゃん、テニス楽しんできてね！,,,,,,,,,,,,,,,
10クリック目,江戸川コナン,(おっちゃん、自由だな…),,,,,,,5,江戸川コナン,3,,,,,,
