調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,毛利蘭,"この前園子のところの<font color='#FF9D9D'>洋館</font>で
ロックバンドのコンサート開いたって言ってたけど、
どうだった？",1,毛利蘭,8,2,鈴木園子,13,1,江戸川コナン,3,,,,公園,3,IN
2クリック目,鈴木園子,"楽しかったわよ！
もうコンサートはすっごい盛り上がってさー！
蘭も空手なんてサボって来れば良かったのに！",,,,,,,,,,,,,,,
3クリック目,鈴木園子,あ、でもその時、困った事があったんだよねー……,,,,5,鈴木園子,13,,,,,,,,,
4クリック目,江戸川コナン,園子姉ちゃん、何？困った事って？,,,,,,,10,江戸川コナン,3,,,,,,
5クリック目,鈴木園子,"洋館の中にあった<font color='#FF9D9D'>水銀灯が割れちゃった</font>のよ！
誰が割ったかは分からないんだけど……
この園子様が片付けたのよ！謝ってもらいたいわ！",,,,7,鈴木園子,13,,,,,,,,,
6クリック目,江戸川コナン,"ねぇ！
その水銀灯のそばにいた中で、怪しい人はいないの？",,非表示,0,,,,9,江戸川コナン,3,,,,,,
7クリック目,鈴木園子,"え？そうねぇ……特に激しく動いていたのは…
確か、<font color='#FF9D9D'>スーツを着た男性</font>と、",,,,,,,,,,廣田直人,44,左,,,
8クリック目,鈴木園子,銀色の<font color='#FF9D9D'>ブレスレット</font>を手につけてた<font color='#FF9D9D'>高校生の女の子</font>と……,,,,,,,,,,武井真美,46,左,,,
9クリック目,鈴木園子,後、<font color='#FF9D9D'>ワイン</font>を飲んでいた<font color='#FF9D9D'>おじさん</font>と、,,,,,,,,,,森和美,57,左,,,
10クリック目,鈴木園子,金の<font color='#FF9D9D'>ペンダント</font>をしていた<font color='#FF9D9D'>大学生風の男の人</font>の4人だったわ！,,,,,,,,,,向井こうじ,47,左,,,
11クリック目,毛利蘭,"その人たちが水銀灯を割ったのかも知れないわね……
その人達が他に何をしていたかわかる？",14,毛利蘭,8,,,,,,,,,左：非表示,,,
12クリック目,鈴木園子,"うーん……ロックバンドのメンバーがタオルとかを振り回しながら盛り上がれ！って
言ってたからスーツの男性はネクタイ、
大学生風の男の子は金のペンダントを振り回してたわ！",,,,,,,,,,,,,,,
13クリック目,毛利蘭,"大変だったね……
他に、気づいたこと無かった？",7,毛利蘭,8,,,,,,,,,,,,
14クリック目,鈴木園子,"後は……踊っていた廣田さんは、ネクタイをズボンに入れている時、
服を手ではたいていたわね……",,,,,,,,,,,,,,,
15クリック目,毛利蘭,"じゃぁ…水銀灯の割れた破片が服について払ったのかもしれないわね！
あやしいんじゃない？",,,,,,,,,,,,,,,
16クリック目,江戸川コナン,"…うーん…
園子姉ちゃん、金のペンダントの向井さんは？",,,,,,,,,,,,,,,
17クリック目,鈴木園子,"その人は…
実はカッコよかったから声かけてさ…
2人で協力して水銀灯の破片を片付けたのよ！",,,,1,鈴木園子,13,,,,,,,,,
18クリック目,鈴木園子,"そういえばその時、金のペンダントの色、
ちょっとおかしかったような……",,,,,,,,,,,,,,,
19クリック目,江戸川コナン,おかしかったって、どういう事？,,,,,,,,,,,,,,,
20クリック目,鈴木園子,"あの人が付けてたペンダント、最初は<font color='#FF9D9D'>金色だと思ってたけど、
片付けしていた時に見たら白っぽい銀色だった</font>のよねー……",,,,,,,,,,,,,,,
21クリック目,毛利蘭,…園子が見間違えたんじゃないの？,,,,,,,,,,,,,,,
22クリック目,鈴木園子,"んー……でも確かに金色だったと思うんだけど……
やっぱり見間違いかしら……？",,,,7,鈴木園子,13,,,,,,,,,
23クリック目,江戸川コナン,"（なるほど、そういう事か……
だとすると水銀灯を割ったのはあの人だな……）",,,,,,,15,江戸川コナン,3,,,,,,
