ステージ8導入ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,灰原哀,"この河川敷に隠した宝物を、見つけられるかしら…
探してみなさい……",,,,1,灰原哀,9,,,,,,,河川敷,15,IN,,,,,
2クリック目,吉田歩美,うん！絶対に見つけるんだから！,3,吉田歩美,12,,,,,,,,,,,,,,,,,
3クリック目,鈴木園子,あーら、ガキんちょ達！そんなところで何してるの？,,,,,,,2,鈴木園子,13,,,,,,,,,,,
4クリック目,円谷光彦,園子さん！ボク達、宝探しゲームをしてるんです！,,,,2,円谷光彦,15,,,,,,,,,,,,,,
5クリック目,江戸川コナン,あれ？園子姉ちゃん、蘭姉ちゃんとテニスじゃなかったの？,3,江戸川コナン,3,,,,,,,,,,,,,,,,,
6クリック目,鈴木園子,"あー、蘭はおじさまを迎えに行ったわ…
なんでも酔っぱらってビアガーデンの看板を壊したんだって…",,,,,,,1,鈴木園子,13,,,,,,,,,,,
7クリック目,小嶋元太,じゃあ、テニスできなかったのかよー？,,,,1,小嶋元太,17,,,,,,,,,,,,,,
8クリック目,鈴木園子,"そうなのよ！蘭はすぐ帰っちゃったんだけど…
でも私は近くで練習してた大学生のテニスサークルに混ぜてもらっちゃった！",,,,,,,,,,,,,,,,,,,,
9クリック目,鈴木園子,その中の一人がすごくイケメンだったのよね～…,,,,,,,2,鈴木園子,13,,,,,,,,,,,
10クリック目,江戸川コナン,じゃ、じゃぁ、ボク達は宝探しの最中だから！またね！園子姉ちゃん,5,江戸川コナン,3,,,,,,,,,,,,,,,,,
11クリック目,小嶋元太,おう！そうだな！宝探ししようぜ～！,,,,3,小嶋元太,17,,,,,,,,,,,,,,
