調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,吉田歩美,"ねえねえコナン君……
ちょっとお話があるの……",5,吉田歩美,12,9,江戸川コナン,3,,,,,,,公園,3,IN,,,,,
2クリック目,江戸川コナン,"いいけど……
何かあったのか？",,,,,,,,,,,,,,,,,,,,
3クリック目,吉田歩美,"あのね、宿題で作った木工工作なんだけど……
阿笠博士の<font color='#FF9D9D'>研究室</font>に置き忘れてて……
取りに行ったら壊れちゃってたの！",10,吉田歩美,12,,,,,,,研究所,81,右,,,,,,,,
4クリック目,江戸川コナン,"ええっ！
どうしてそんな……",,,,10,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
5クリック目,吉田歩美,"わかんないけど……
ぐちゃぐちゃに壊れていて……",5,吉田歩美,12,,,,,,,,,,,,,,,,,
6クリック目,江戸川コナン,"ちょっと見せて！
なるほど板が折れてる……
<font color='#FF9D9D'>何か重くて丸っぽいもので叩いたみたい</font>に見えるな……",,,,13,江戸川コナン,3,,,,,,,,,,,,,,
7クリック目,吉田歩美,"コナン君もそう思う？
忘れたのに気づいてすぐに戻ったのに……
どうしてこんな事に……",,,,,,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,"ねえ歩美ちゃん……
取りに戻った時、研究室に誰か怪しい人を見かけなかった？",,,,4,江戸川コナン,3,,,,,,,,,,,,,,
9クリック目,吉田歩美,"怪しい人は見なかったよ！
研究室にいたのは……
<font color='#FF9D9D'>阿笠博士と小五郎のおじさんと蘭お姉さん</font>だった！",10,吉田歩美,12,,,,,,,,,,,,,,,,,
10クリック目,江戸川コナン,"(そういや、おっちゃん、今日蘭つれて浮気調査って言ってたな…
ケーキが美味いカフェで張り込むのに、おっちゃんひとりじゃ変だもんな…)",,,,5,江戸川コナン,3,,,,,,,,,,,,,,
11クリック目,江戸川コナン,…それで、みんなは何してたんだ？,,,,9,江戸川コナン,3,,,,,,,,,,,,,,
12クリック目,吉田歩美,"えっとね…阿笠博士は<font color='#FF9D9D'>ガスボンベの点検をしていた</font>みたい……",3,吉田歩美,12,,,,,,,阿笠博士,6,右,,,,,,,,
13クリック目,江戸川コナン,"あれはたしか<font color='#FF9D9D'>鎖で固定されて、動かないようになっていた</font>よね？",,,,,,,,,,,,,,,,,,,,
14クリック目,吉田歩美,"うん、そうだね！
ちゃんと固定されているか叩いてたよ！",1,吉田歩美,12,,,,,,,,,,,,,,,,,
15クリック目,吉田歩美,"蘭お姉さんは博士に用があったから寄ったみたいだったよ！
おじさんは蘭お姉さんと出かけてたからついてきたって言ってた！",,,,,,,,,,,,"右：非表示",,,,,,,,
16クリック目,吉田歩美,"小五郎のおじさんは、<font color='#FF9D9D'>部屋の隅でなにかを引っ張っていた</font>みたいだったよ！
<font color='#FF9D9D'>赤い色がちらっと見えた</font>かなあ……",,,,,,,,,,毛利小五郎,4,右,,,,,,,,
17クリック目,吉田歩美,"蘭お姉さんは<font color='#FF9D9D'>実験の道具を片付けてる</font>みたいだったよ……
博士の点検が終わるの待ってたの…
歩美たちは、その時帰ったから…",5,吉田歩美,12,,,,,,,毛利蘭,8,右,,,,,,,,
18クリック目,江戸川コナン,"そうだな……
3人の中の誰かがやったんだとしたら…
きっとこれは事故だったんだろうな……",,,,14,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
