正解ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情,左キャラ名,カードID,表情,中央キャラ,カードID,表情,右キャラ,カードID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,小嶋元太,…う～ん難しいなぁ…,,,,5,小嶋元太,17,,,,,,,洋館（桃の部屋）,27,IN
2クリック目,江戸川コナン,"この部屋の暗号は……
「くつろぐときのふくそう」…
…つまり…",9,江戸川コナン,3,,,,,,,,,,,,
3クリック目,小嶋元太,それなんだ？パジャマか？,,,,,,,,,,,,,,,
4クリック目,吉田歩美,パジャマなんて、この部屋で見かけなかったよ？,5,吉田歩美,12,,,,,,,,,,,,
5クリック目,灰原哀,……パジャマの上に着るものなら、この部屋にあったじゃない？,,,,12,灰原哀,9,,,,,,,,,
6クリック目,円谷光彦,わかりました！ガウンですよ！,,,,,,,2,円谷光彦,15,,,,,,
7クリック目,吉田歩美,ガウンね！あった！ここに宝石あったよ！,3,吉田歩美,12,,,,,非表示,,ルビー,30010,右,,,
8クリック目,跡部透,…少年たち、いや、最後はかわいいお嬢さんが宝石を見つけたのですね！,2,跡部透,74,,,,,,,,,,,,
9クリック目,跡部透,"…全ての宝石が見つかりましたね！！
…毛利探偵ではなく…、このようなかわいらしい少年少女たちが見つけてしまうとは…",,,,,,,,,,,,,,,
10クリック目,跡部透,全ての宝石が揃いましたので、鈴木相談役を呼んで参ります！,1,跡部透,74,,,,,,,,,右：非表示,,,
11クリック目,中森銀三,お！宝石、全部見つけたのか？,,非表示,0,1,毛利蘭,8,5,中森銀三,25,,,,,,
12クリック目,毛利蘭,は、はい…コナン君たちが全部見つけました…,,,,,,,,,,,,,,,
13クリック目,中森銀三,おい！警護班！宝石が揃った！何人かこっちへ来い！,,,,,,,1,中森銀三,25,,,,,,
14クリック目,江戸川コナン,さぁ…宝石が揃ったぜ…怪盗キッド…,9,江戸川コナン,3,,非表示,0,,非表示,0,,,,,,
15クリック目,毛利小五郎,…ほーぅ…名探偵…やっぱりバレてたか…,,,,,,,2,毛利小五郎,4,,,,,,
16クリック目,江戸川コナン,さっきトイレで、眠ったおっちゃんを見たからな…,,,,,,,,,,,,,,,
17クリック目,江戸川コナン,怪盗キッド！今日こそ逃がさねーぜ…,4,江戸川コナン,3,,,,,,,,,,,,
18クリック目,毛利小五郎,それはどうかな…,,,,,,,12,毛利小五郎,4,,,,,,
19クリック目,-,ポン！,,,,,,,,非表示,0,,,,,,
20クリック目,鈴木園子,！！キ、キッド様！？,2,鈴木園子,13,2,怪盗キッド,2,,,,,,,,,
21クリック目,中森銀三,き、キッドだーーー！！！全員広間に来いっ！！,,,,,,,4,中森銀三,25,,,,,,
22クリック目,怪盗キッド,今宵、洋館より宝石を探し出して頂いた皆様…こんばんは…,,,,,,,,,,,,,,,
23クリック目,怪盗キッド,"先ほど、皆様が持っておられた宝石…
実は私の手の中に…",,,,3,怪盗キッド,2,,,,,,,,,
24クリック目,跡部透,！？そ、そんな！ケースがいつの間にか空に！？,10,跡部透,74,,,,,,,,,,,,
25クリック目,中森銀三,な、なんだとーーー！？,,,,,,,,,,,,,,,
26クリック目,鈴木次郎吉,ぐぬぬ！いつの間に！？,4,鈴木次郎吉,30,,,,,,,,,,,,
27クリック目,怪盗キッド,私は手品師ですからね……,,,,,,,,,,,,,,,
28クリック目,怪盗キッド,"…しかし…これは……私の目当てのものでは無かったようです…
これはお返ししますよ…",,,,1,怪盗キッド,2,,,,,,,,,
29クリック目,中森銀三,"キッド！！！貴様という奴は！！
おい！全員奴を追うんだ！！",,,,,,,1,中森銀三,25,,,,,,
30クリック目,中森銀三,おい、小僧！そこをどけ！,,,,,,,4,中森銀三,25,,,,,,
31クリック目,江戸川コナン,…うわっ！！,25,江戸川コナン,3,,,,,,,,,,,,
32クリック目,怪盗キッド,じゃあな…名探偵…,,,,21,怪盗キッド,2,,,,,,,,,
33クリック目,怪盗キッド,(ハンググライダーで去る),,,,,非表示,0,,,,,,,,,
34クリック目,江戸川コナン,"……ったく…中森警部に邪魔されちまったぜ…
次にあったときは逃さねーからな…怪盗キッド！",7,江戸川コナン,3,,,,,,,,,,,,
