調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,鈴木園子,んー、やっぱ意味不明だわ……,1,鈴木園子,13,,,,,,,,,,駅,4,IN,,,,,
2クリック目,江戸川コナン,あれ？　園子姉ちゃん？,,,,2,江戸川コナン,3,,,,,,,,,,,,,,
3クリック目,鈴木園子,あら、蘭にガキんちょじゃない！,2,鈴木園子,13,,,,,,,,,,,,,,,,,
4クリック目,毛利蘭,難しい顔をしてるけど、何かあったの？,,,,,,,3,毛利蘭,8,,,,,,,,,,,
5クリック目,鈴木園子,"うん……実はさっきまで
町内会のイベントで<font color='#FF9D9D'>河川敷</font>でバーベキューしてたんだけど…
川辺で火をおこしたまま、消さずに帰ってきちゃったんだよね……",1,鈴木園子,13,,,,,,,,,,,,,,,,,
6クリック目,毛利蘭,え！　大変！すぐに消しに行かないと！,,,,,,,7,毛利蘭,8,,,,,,,,,,,
7クリック目,鈴木園子,"それがさ…
さっき戻ってみたんだけど、<font color='#FF9D9D'>火が水で消されてた</font>のよ……",7,鈴木園子,13,,,,,,,,,,,,,,,,,
8クリック目,鈴木園子,"あそこでバーベキューをするって知ってたのはあたしたちだけだし
あたしたち以外の人が消したとは思えないんだよね……",,,,,,,,,,,,,,,,,,,,
9クリック目,毛利蘭,"それならバーベキューをしていた誰かが
戻って消してくれたんじゃないの？",,,,,,,13,毛利蘭,8,,,,,,,,,,,
10クリック目,鈴木園子,"でもさ、あたしたちバケツを持って行かなかったんだよね……
<font color='#FF9D9D'>バケツもなしに水をくむなんて無理</font>じゃない？",,,,,,,,,,,,,,,,,,,,
11クリック目,毛利蘭,それはそうかもね……,,,,,,,,,,,,,,,,,,,,
12クリック目,鈴木園子,"あたしたちが河川敷でゴミ拾いしたから、感心した神様が
消し忘れた火の上にだけ大雨を降らせてくれたのかな？",2,鈴木園子,13,,,,,,,,,,,,,,,,,
13クリック目,毛利蘭,ゴミ拾いをしたの？,,,,,,,3,毛利蘭,8,,,,,,,,,,,
14クリック目,鈴木園子,"偉いでしょ！
<font color='#FF9D9D'>麦わら帽子とか、ビニール手袋とか、犬の首輪とか……
リールなんかも落ちて</font>て大変だったんだから！",,,,,,,,,,,,,,,,,,,,
15クリック目,江戸川コナン,誰が何を拾ったか覚えてる？,,,,3,江戸川コナン,3,,,,,,,,,,,,,,
16クリック目,鈴木園子,んー、まぁ大体は……でも、なんで？,1,鈴木園子,13,,,,,,,,,,,,,,,,,
17クリック目,江戸川コナン,ボク、誰が火を消したのか分かったかもしれないよ！,,,,24,江戸川コナン,3,,,,,,,,,,,,,,
