河川敷,,,Lv.5,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,ビニール手袋,,0
事件現場（物探し）,,,河川敷,,0
クエストレベル,,,5,,0
依頼現場／対決場所,,,駅,,0
事件名,,,突然の雨？,,0
事件概要,,,"蘭とお出かけ中、園子と遭遇。園子は、町内会の人たちとBBQをした際に火を消し忘れて撤収してしまったのだという。それに気づいた園子は慌てて戻ったが、火は水をかけられて消えていた。BBQメンバーの誰かが消したようだ。だが、誰もバケツを持っていなかったはずなのに。当時、河川敷には様々なゴミが落ちており、それぞれのゴミをいじっている人がいた。麦わら帽子を拾った筋肉自慢の男性、ビニール手袋を拾ったイケメン、犬の首輪を拾った大学生風の女性、リールを拾ったSHOP店員。使える道具はそれぞれが拾った道具だけだろう。水を運んだのは誰だろうか。
真相：上記の道具の中で、水を運ぶ事ができるのは、手袋の内側に水を保つ事のできるビニール手袋だけである。このことから、ビニール手袋を持っていたイケメンが水を運んだ可能性が高い。",,"ギャル→園子に変更

友達→町内会の人に変更

オチを追加"
依頼者,,,鈴木園子,,0
犯人名,,,イケメン（向井こうじ）,,0
はずれ容疑者、物証①,,,筋肉自慢の男性(中村隆弘),　：麦わら帽子,
はずれ容疑者、物証②,,,女子大生風の女性（大石ゆうき）,　：犬の首輪,
はずれ容疑者、物証③,,,SHOP店員（上杉夕夏）,　：リール,
