調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,阿笠博士,うーむ、どうしたものかのう……,1,阿笠博士,6,,,,,,,,,,研究所,10,IN,,,,,
2クリック目,江戸川コナン,ん？どうしたんだよ博士？,,,,1,江戸川コナン,3,,,,,,,,,,,,,,
3クリック目,阿笠博士,"実は、実験に使う、薬品の量を量りたいんじゃが…
計量器具の目盛りがすれて、
正しい量が量れなくなってしまったのじゃ…",5,阿笠博士,6,,,,,,,,,,,,,,,,,
4クリック目,阿笠博士,"実験には薬液が<font color='#FF9D9D'>200mlピッタリ必要</font>でのう…
このビーカーにどうやって200ｍｌ入れればよいか……",,,,,,,,,,,,,,,,,,,,
5クリック目,吉田歩美,博士、そのビーカーには何ml入るの？,,,,,,,1,吉田歩美,12,,,,,,,,,,,
6クリック目,阿笠博士,"そうじゃのう、たしか<font color='#FF9D9D'>300ml</font>だったはずじゃ…",1,阿笠博士,6,,,,,,,,,,,,,,,,,
7クリック目,灰原哀,"なるほど…そのビーカーだけでは量れないということね？
……研究所にある別の器具で量ることはできないかしら？",,,,1,灰原哀,9,,,,,,,,,,,,,,
8クリック目,小嶋元太,"それならこの<font color='#FF9D9D'>メスシリンダー</font>はどうだ？
<font color='#FF9D9D'>600ml入る</font>みたいだぜ！",,,,,,,1,小嶋元太,17,,,,,,,,,,,
9クリック目,円谷光彦,"この<font color='#FF9D9D'>シャーレ</font>で量ったらどうでしょう？
<font color='#FF9D9D'>シャーレ</font>には<font color='#FF9D9D'>150ml入る</font>みたいです…",,,,2,円谷光彦,15,,,,,,,,,,,,,,
10クリック目,阿笠博士,"そうじゃの…この<font color='#FF9D9D'>試験管</font>で少しずつ入れていったらどうかの？
試験管には<font color='#FF9D9D'>30ml入る</font>ようじゃ…",,,,,,,,,,,,,,,,,,,,
11クリック目,吉田歩美,"うーん、それならこの<font color='#FF9D9D'>フラスコ</font>はどうかな？
<font color='#FF9D9D'>250ml入る</font>みたいだけど…",,,,,,,2,吉田歩美,12,,,,,,,,,,,
12クリック目,灰原哀,（そうね……あれと、ビーカーを使えばちょうど200ml量ることができそうだわ…）,,,,12,灰原哀,9,,,,,,,,,,,,,,
