研究所,,,Lv.9,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,フラスコ,,0
事件現場（物探し）,,,研究所,,0
クエストレベル,,,9,,0
依頼現場／対決場所,,,研究所,,0
事件名,,,200mlを計量するには？,,0
事件概要,,,"阿笠博士が実験に使うビーカーとメスシリンダーと試験管の目盛がすれて読めなくなってしまった。阿笠博士はどうしても今日中にやりたい実験があり、その実験をある薬液を200mlちょうどビーカーに入れなければならないという。この困難に、灰原は250ml入るフラスコ、元太は600ml入るメスシリンダー、光彦は150ml入るシャーレ、歩美は30ml入る試験管を使えばいいと言い出した。なお、ビーカーには300ml入る。さて、どの道具を使えば、メモリのないビーカーに200mlの薬液を入れることができるだろうか。
真相：灰原の持ってきた250ml入るフラスコを使えば200mlをはかれる。手順は満タンフラスコの中身をを２回ビーカーに移す。すると、入りきらなかった分がフラスコに200ml余る。ビーカーの中身を一度捨て、その200mlをビーカーに移せば良い。他の容器でははかれない。",,"版元の指摘を受け、登場人物を少年探偵団に変更
またそれに伴って依頼現場も繁華街→研究所に変更

灰原が正解である話が散見されるので、
灰原を謎解き役にし、正解者を歩美にしました"
依頼者,,,阿笠博士,,0
犯人名,,,吉田歩美,,0
はずれ容疑者、物証①,,,小嶋元太,メスシリンダー,
はずれ容疑者、物証②,,,円谷光彦,シャーレ,
はずれ容疑者、物証③,,,阿笠博士,試験管,
