エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,灰原哀,"吉田さんの持っている、
その<font color='#FF9D9D'>フラスコを使えばちょうど200mlを量ることができそうね…",1,灰原哀,9,1,吉田歩美,12,,,,フラスコ,107,右,研究所,10,IN,,,,,
2クリック目,吉田歩美,え！？,,,,10,吉田歩美,12,,,,,,"右：非表示",,,,,,,,
3クリック目,灰原哀,フラスコには250ml、ビーカーには300ml入るから……,2,灰原哀,9,,,,,,,,,,,,,,,,,
4クリック目,灰原哀,"満タンにしたフラスコの中身をビーカーに入れれば、
ビーカーはあと50ml入る状態になるわ…",,,,,,,,,,,,,,,,,,,,
5クリック目,灰原哀,"フラスコの中身をもう一度満タンにして、
そのビーカーに入れれば、フラスコには200ml残るから……",,,,,,,,,,,,,,,,,,,,
6クリック目,灰原哀,これで薬液を200ｍｌピッタリ用意できるってわけ…,12,灰原哀,9,,,,,,,,,,,,,,,,,
7クリック目,吉田歩美,うわぁほんとだ！　哀ちゃんってやっぱり頭いいね！,,,,3,吉田歩美,12,,,,,,,,,,,,,,
8クリック目,江戸川コナン,"あれ？　歩美ちゃん、それがわかってたから
フラスコを持ってきたんじゃないの？",,,,,,,10,江戸川コナン,3,,,,,,,,,,,
9クリック目,吉田歩美,"ううん、ほかのは元太君と光彦君と博士に取られちゃって……
フラスコがあまってたからたまたま選んだだけなの…",,,,,,,,,,,,,,,,,,,,
10クリック目,江戸川コナン,（……なんだ…、偶然か…）,,,,,,,22,江戸川コナン,3,,,,,,,,,,,
