調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,吉田歩美,あ、コナン君がちょうどいいところにきたよ！,1,吉田歩美,12,,,,,,,,,,河川敷,15,IN,,,,,
2クリック目,江戸川コナン,ん？　どうかしたのか？,,,,9,江戸川コナン,3,,,,,,,,,,,,,,
3クリック目,吉田歩美,"川で小石を拾ってたら、この子と仲良くなったの！
昨日もここでキャンプをしてたらしいから、いろいろ聞いてたの！
そしたら…",,,,,,,,,,脇田みさき,49,右,,,,,,,,
4クリック目,円谷光彦,いやー、ボクは非科学的だと言ってるんですけどね！,,,,,,,14,円谷光彦,15,,,"右：非表示",,,,,,,,
5クリック目,吉田歩美,"実は…この子、
<font color='#FF9D9D'>キャンプ場でオバケに会った</font>って…怖がってるの……",2,吉田歩美,12,,,,,,,,,,,,,,,,,
6クリック目,江戸川コナン,"オバケ？
…そんなのいるわけ……",,,,22,江戸川コナン,3,,,,,,,,,,,,,,
7クリック目,吉田歩美,"コナン君！
話を聞いてあげてほしいの……",5,吉田歩美,12,,,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,"わっわかったよ！
それで、どんなオバケに会ったんだ？",,,,5,江戸川コナン,3,,,,,,,,,,,,,,
9クリック目,脇田みさき,"……キャンプ場に<font color='#FF9D9D'>大きな岩があったんだけど……
その岩が<font color='#FF9D9D'>一晩で別の場所に移動</font>しちゃったの！",,,,,,,1,脇田みさき,49,,,,,,,,,,,
10クリック目,小嶋元太,誰か力持ちの奴が夜のうちに動かしたんじゃねーのか？,3,小嶋元太,17,,,,,,,,,,,,,,,,,
11クリック目,脇田みさき,"そんなのムリだよ！　大人の人よりもずっと大きな岩なんだもん！
車とかも入れないところだし……
ママたちに聞いても知らないって言うし…絶対にオバケだよ！",,,,,,,,,,,,,,,,,,,,
12クリック目,江戸川コナン,その岩はどんな風に動いたんだ？,,,,2,江戸川コナン,3,,,,,,,,,,,,,,
13クリック目,脇田みさき,"ひきずった後は無かったから…
うーん…<font color='#FF9D9D'>転がされた</font>っていう感じかな……",,,,,,,,,,,,,,,,,,,,
14クリック目,江戸川コナン,キャンプで、キミの近くに大人はいた？,,,,,,,,,,,,,,,,,,,,
15クリック目,脇田みさき,"川でボートに乗っていた人がいたよ！
力持ちそうな人だった！
森でタバコを吸ってた人もいたよ……",,,,,,,,,,,,,,,,,,,,
16クリック目,江戸川コナン,他には？誰か居なかった？,,,,1,江戸川コナン,3,,,,,,,,,,,,,,
17クリック目,脇田みさき,"あと、森に珍しい生き物の取材にきたっていう記者さんも……
高そうなカメラを持っていて、触ったら怒られちゃった…
夜には帰ったと思うけど…",,,,,,,,,,,,,,,,,,,,
18クリック目,江戸川コナン,"なるほどな……
となると、やっぱり岩を動かしたのはオバケなんかじゃねーぞ！",,,,9,江戸川コナン,3,,,,,,,,,,,,,,
19クリック目,脇田みさき,でも、あんな大きな岩を人間が動かせるわけないよ！,,,,,,,,,,,,,,,,,,,,
20クリック目,江戸川コナン,いや、できる……アレを使えばな！,,,,,,,,,,,,,,,,,,,,
