河川敷,,,Lv３,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,釣り竿,,0
事件現場（物探し）,,,河川敷,,0
クエストレベル,,,3,,0
依頼現場／対決場所,,,河川敷,,0
事件名,,,消えたカブトムシの行方,,0
事件概要,,,"駅でコナンは同級生に出会う。その同級生は森でカブトムシを捕まえた。カブトムシを入れた虫かごを川の近くに置き、少年は別の森に忘れ物を取りに戻った。河川敷に戻ると、虫かごがなくなっていた。川は前日にこの街を襲った台風の影響で濁流となっていたが、虫かごは川の水に巻き込まれるような場所には置いていないという。近くにいたのは、近くに落ちていたタイヤで遊んでいたガキ大将、釣りをしていたという泥棒風の男、近くを散歩していたお嬢様風の女の子である。さて、ウソの証言をして、カブトムシの窃盗を誤魔化そうとしているのは誰だ。
真相：台風の影響で増水した川に釣りをしにいくというのは不自然である。このことから、ウソの証言をしているのは泥棒風の男であり、不必要なウソをついたこの男が犯人である可能性が高い。",,
依頼者,,,浅沼はるお,,0
犯人名,,,田原仁志,,0
はずれ容疑者、物証①,,,兵藤まさる,　：タイヤ,
はずれ容疑者、物証②,,,高田あおい,　：麦わら帽子,
