調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,江戸川コナン,"(元太たちとゲームやってたら遅くなっちまった…
蘭に夕飯までに帰るっていったのになー…)",6,江戸川コナン,3,,,,,,,,,,河川敷,15,IN,,,,,
2クリック目,浅沼はるお,ねぇねぇキミ……,,,,1,浅沼はるお,48,,,,,,,,,,,,,,
3クリック目,江戸川コナン,ん？　ひょっとしてオレのこと呼んだか？,10,江戸川コナン,3,,,,,,,,,,,,,,,,,
4クリック目,浅沼はるお,"ボクの<font color='#FF9D9D'>虫かご</font>を見なかった？",,,,,,,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"虫かご？
オレは知らないけど……",,,,,,,,,,,,,,,,,,,,
6クリック目,浅沼はるお,"うぇーん！　ボクの虫かごがどこかにいっちゃったんだよ……
せっかく珍しいカブトムシを捕まえたのに……",,,,,,,,,,,,,,,,,,,,
7クリック目,江戸川コナン,"おいおい、泣くなよ……
ったくしゃーねーな、オレが一緒に探してやるよ！",22,江戸川コナン,3,,,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,"（困ったなー…、急いでるんだけど…
ま、さっさと片付けるか！）",11,江戸川コナン,3,,,,,,,,,,,,,,,,,
9クリック目,浅沼はるお,"ありがとう！　虫かごは河川敷に置いておいたんだけど…
しばらく目を離しているうちになくなっちゃったんだ！",,,,,,,,,,,,,,,,,,,,
10クリック目,江戸川コナン,"<font color='#FF9D9D'>昨日の台風で川はかなり増水してるし</font>…
もしかしたら流されちまったんじゃないのか？",5,江戸川コナン,3,,,,,,,,,,,,,,,,,
11クリック目,浅沼はるお,"そんなことないよ！　川の色は真っ茶色だし…
流れがすごく速かったから危ないと思って…
ちゃんと離れた場所に置いたよ！",,,,,,,,,,,,,,,,,,,,
12クリック目,江戸川コナン,"…となると、<font color='#FF9D9D'>誰かに持って行かれた</font>か……",13,江戸川コナン,3,,,,,,,,,,,,,,,,,
13クリック目,浅沼はるお,そういえば河川敷にボクの他に何人か人がいたよ！,,,,,,,,,,,,,,,,,,,,
14クリック目,江戸川コナン,どんな人たちだった？,2,江戸川コナン,3,,,,,,,,,,,,,,,,,
15クリック目,浅沼はるお,"えっと、<font color='#FF9D9D'>ケンカが強そうな男の子</font>がいたっけ……
近くに落ちてたタイヤで遊んでるって言ってたな……",,,,,,,,,,兵藤まさる,61,右,,,,,,,,
16クリック目,浅沼はるお,"それに<font color='#FF9D9D'>麦わら帽子をかぶった女の子</font>が近くを通ったよ……
お散歩中って言ってたかな？",,,,,,,,,,高田あおい,70,右,,,,,,,,
17クリック目,浅沼はるお,"あと、<font color='#FF9D9D'>怪しいおじさん</font>もいたんだった！
近くで釣りをしているって言ってたよ！",,,,,,,,,,田原仁志,69,右,,,,,,,,
18クリック目,江戸川コナン,"（なるほど……この中にウソをついているヤツが１人いる……
恐らく、そいつが犯人だ！）",9,江戸川コナン,3,,,,,,,,,"右：非表示",,,,,,,,
