教室,,,Lv9,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,はちまき,,0
事件現場（物探し）,,,教室,,0
クエストレベル,,,9,,0
依頼現場／対決場所,,,教室,,0
事件名,,,学校の銃声,,0
事件概要,,,"学校の教室で元太が騒いでいる。
コナンが何があったのかと聞いてみると、学校の廊下で銃声がしたというのだ。
元太は教室にいたのだが、突然聞こえた銃声に驚き、廊下に飛び出したらしい。
「学校で銃声なんか聞こえるわけがない」と言い切るコナンだが、元太は「じゃあ何の音だったんだよ！」と食い下がる。
コナンが元太にそのときの状況を聞くと、周囲にいたのは…

モップで掃除をしていた光彦
ハチマキを洗っていた同級生の男子
ペンケースを持って歩いていた女子生徒
画鋲で掲示物を貼っていたガキ大将

さて、廊下に銃声を轟かせた犯人は誰だろうか。",,"真相：

水で濡らしたハチマキを思い切り地面に叩きつけると、バーンという大きな音が鳴る。
モップやペンケース、画鋲で銃声と聞き間違えるような大きな音を鳴らす事はできない。
よって、ハチマキを洗っていた同級生の男子が犯人。
彼はハチマキを洗っている最中に遊んでいただけだったのだが、元太があまりにも騒ぐので、怖くなって自分の仕業だと言い出せなくなってしまったのだ。"
依頼者,,,小嶋元太,,0
犯人名,,,浅沼はるお,,0
はずれ容疑者、物証①,,,円谷光彦,：ほうき,
はずれ容疑者、物証②,,,脇田みさき,：ペンケース,
はずれ容疑者、物証③,,,兵藤まさる,：画びょう,
