調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,江戸川コナン,（日誌も提出したし、後は帰るだけだな…）,1,江戸川コナン,3,,,,,,,,,,教室,1,IN,,,,,
2クリック目,小嶋元太,"おいコナン！大変だ！
ついさっき<font color='#FF9D9D'>廊下で銃声</font>がしたんだ！",,,,10,小嶋元太,17,,,,,,,,,,,,,,
3クリック目,江戸川コナン,"銃声？
学校の廊下でありえねーだろ…",10,江戸川コナン,3,,,,,,,,,,,,,,,,,
4クリック目,小嶋元太,"ほんとだって！<font color='#FF9D9D'>パンっ！…ってでっかい音</font>がしたんだ！
昨日テレビでやってた刑事ドラマで聞いたのとそっくりな音だったぜ！",,,,,,,,,,,,,,,,,,,,
5クリック目,江戸川コナン,…車のバックファイアとかじゃないのか？,25,江戸川コナン,3,,,,,,,,,,,,,,,,,
6クリック目,小嶋元太,"車のバク…バク…ナントカじゃねーよ！
すぐ近くの廊下から聞こえんだからな！",,,,7,小嶋元太,17,,,,,,,,,,,,,,
7クリック目,江戸川コナン,…じゃあ、廊下で何か怪しいものは見なかったか？,,,,,,,,,,,,,,,,,,,,
8クリック目,小嶋元太,"怪しいもの？
あの音が鳴ってすぐ、オレが廊下に飛び出したら…
そこで見たのは…",,,,,,,,,,,,,,,,,,,,
9クリック目,小嶋元太,"えっと…<font color='#FF9D9D'>光彦がモップで掃除</font>をしていたな…",,,,,,,,,,円谷光彦,15,右,,,,,,,,
10クリック目,小嶋元太,"それから、手洗い場で<font color='#FF9D9D'>ハチマキを洗ってる男子</font>がひとりいて…",,,,,,,,,,浅沼はるお,48,右,,,,,,,,
11クリック目,小嶋元太,"あとは廊下に出る時、<font color='#FF9D9D'>女子</font>とすれ違ったぜ…
たしか<font color='#FF9D9D'>ペンケース</font>を持ってたな…",,,,,,,,,,脇田みさき,49,右,,,,,,,,
12クリック目,小嶋元太,"そーだ！
掲示板のところで<font color='#FF9D9D'>画鋲でなんか貼り付けてる男子</font>もいたな！",,,,,,,,,,兵藤まさる,61,右,,,,,,,,
13クリック目,江戸川コナン,"（そうか…
元太が銃声と勘違いした音を鳴らしたのは…アイツだな…）",1,江戸川コナン,3,,,,,,,,,"右：非表示",,,,,,,,
