ステージ１導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,綾小路文麿,"路子はん、お辛いでしょうが、お父上の事を聞かせてもらえますか…？
とくに亡くなる直前のことを…",1,綾小路文麿,36,,,,,,,鷹梨道明,10006,右,旧公家屋敷の日本間,28,IN
2クリック目,鷹梨路子,"はい…父には今日、来客の予定がありました…
3人のお客様が家に来る事になっていると聞いていました…",,,,5,鷹梨路子,78,,,,,,,,,
3クリック目,白鳥任三郎,なるほど…その3人の来客は、あなたもご存じの人ですか？,,,,,,,1,白鳥任三郎,26,,,右：非表示,,,
4クリック目,綾小路文麿,あんたが聞かんでよろし…ここは東京やない、京都府警にまかせなはれ…,1,綾小路文麿,36,,,,,,,,,,,,
5クリック目,白鳥任三郎,"あぁ、これは失敬…癖でね…
出来る限り協力致しますよ…第一発見者としてね…",,,,,,,1,白鳥任三郎,26,,,,,,
6クリック目,綾小路文麿,あんたにはあとで、話を聞かせてもらいますよ…,1,綾小路文麿,36,,,,,,,,,,,,
7クリック目,綾小路文麿,それで路子はん、その来客というのは…？,1,綾小路文麿,36,,,,,非表示,0,,,,,,
8クリック目,鷹梨路子,"はい…ひとりは父とは長いお付き合いのある小金原さん…
京都市内で古美術店をやってはる方です…",,,,5,鷹梨路子,78,,,,小金原周蔵,10004,右,,,
9クリック目,鷹梨路子,"それに、最近、何回も家に来るようになった権田という人…
父が付き合うとは思えない、ガラの悪い人です…",,,,5,鷹梨路子,78,,,,権田研二,10003,右,,,
10クリック目,鷹梨路子,"あとは、ひと月程前に父に連絡を取ってきた、
フリーのカメラマンだという、瀬川さんという方です…",,,,5,鷹梨路子,78,,,,瀬川幸治,10005,右,,,
11クリック目,綾小路文麿,それで、あなたはその3人の来客と会ったのですか？,1,綾小路文麿,36,,,,,,,,,右：非表示,,,
12クリック目,鷹梨路子,いえ…私は朝から出かける予定があったので、どなたにも…,,,,5,鷹梨路子,78,,,,,,,,,
13クリック目,毛利小五郎,その、ガラの悪い人っていうのは、何者なんですか？,,,,,,,1,毛利小五郎,4,,,,,,
14クリック目,鷹梨路子,"詳しくは知りません…父に聞いても教えてくれなかったので…
でも、父の負債と関係があるんじゃないかと思います…",1,綾小路文麿,36,5,鷹梨路子,78,,,,,,,,,
15クリック目,綾小路文麿,負債ですって？,1,綾小路文麿,36,,,,,,,,,,,,
16クリック目,鷹梨路子,"はい…最近、父が大きな事業に失敗して、相当な額の負債ができてしまったんです…
詳しいことは教えてくれませんでしたが…",,,,5,鷹梨路子,78,,,,,,,,,
17クリック目,毛利小五郎,なるほど、タチの悪い借金取り…かもしれませんなあ…,,,,,,,1,毛利小五郎,4,,,,,,
18クリック目,江戸川コナン,"ねえねえ、おねえさん！瀬川ってカメラマンさんは、どうして、道明さんに
会いに来てたの？",3,江戸川コナン,3,,,,,,,,,,,,
19クリック目,毛利小五郎,…おまえは、また横から口を…！,,,,,,,10,毛利小五郎,4,,,,,,
20クリック目,鷹梨路子,ああ…瀬川さんは大阪に住んでる方で、フリーのカメラマンをされてるみたいなんですが…,,,,5,鷹梨路子,78,,,,,,,,,
21クリック目,鷹梨路子,"鷹梨の家に古くから伝わる美術品の写真を撮らせて欲しいって、
父に頼みに来たようで…",,,,5,鷹梨路子,78,,,,,,,,,
,江戸川コナン,へぇ…それで、お姉さんが帰って来たときは誰か居なかったの？,3,江戸川コナン,3,,,,,,,,,,,,
22クリック目,鷹梨路子,"誰も見かけてないです…
家には父の姿はなくて…何かの用事で出かけただけだと思っていたんですけど…",,,,5,鷹梨路子,78,,,,,,,,,
23クリック目,毛利小五郎,そのときには…もうお父上は、井戸に…,,,,,,,1,毛利小五郎,4,,,,,,
24クリック目,鷹梨路子,…はい……,,,,5,鷹梨路子,78,,,,,,,,,
25クリック目,綾小路文麿,"なるほど、ではその3人の客人にも話を聞いた方がよさそうやな…
道明氏に最後に会うてた人がおるかも知れへん…",1,綾小路文麿,36,,,,,,,,,,,,
26クリック目,服部平次,それで、その３人はそれぞれ何時に来ることになっとたんや？,,,,,,,15,服部平次,5,,,,,,
27クリック目,鷹梨路子,それが、時間までは聞いていなかったんです…ただ今日は３人の来客があるとだけ…,,,,5,鷹梨路子,78,,,,,,,,,
28クリック目,綾小路文麿,来客の順番はわからんということですね…,1,綾小路文麿,36,,,,,,,,,,,,
29クリック目,江戸川コナン,じゃあ…とりあえずその3人に話を聞いた方がよさそうだね！,3,江戸川コナン,3,,,,,,,,,,,,
30クリック目,毛利小五郎,"うるせーんだよ！このガキは！
…そんな事はわかってんだよ…！",,,,,,,10,毛利小五郎,4,,,,,,
31クリック目,服部平次,"よっしゃ、その瀬川ちゅうカメラマンは大阪に住んどる言うたな！
このオレがひと肌脱いだるわ！大滝ハン呼んだろ！",,,,,,,1,服部平次,5,,,,,,
32クリック目,遠山和葉,えっ…平次、まーた大滝ハンに迷惑かけるん？,,,,1,遠山和葉,11,,,,,,,,,
33クリック目,綾小路文麿,とにかく、その3人を探して呼んできましょう…,1,綾小路文麿,36,,,,,,,,,,,,
