ステージ7導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,ねえ！横溝刑事！ジムを調べて、何かわかったことはあったの？,3,江戸川コナン,3,,,,,,,,,,洋館,13,IN
2クリック目,横溝参悟,"ああ、メルドックさんの指紋は、ランニングマシーンとダンベルから出たよ…
多分、亡くなる直前にやっていたんだろうね…",,,,1,横溝参悟,20,,,,,,,,,
3クリック目,横溝参悟,用具入れには他にラケットやボールがあったけど、指紋は検出されなかったよ…,,,,,,,,,,,,,,,
4クリック目,江戸川コナン,ラケット…？,25,江戸川コナン,3,,,,,,,,,,,,
5クリック目,横溝参悟,あれはスカッシュ用じゃないかな？…ジムの一部が室内コートになっていたし…,,,,,,,,,,,,,,,
6クリック目,江戸川コナン,ふーん…スカッシュかあ…,9,江戸川コナン,3,,,,,,,,,,,,
7クリック目,横溝参悟,"それよりも、他のお客さん達がまだ港に戻らないのかって騒ぎ出してるんだよ…
説明しに行かなきゃ…",,,,,,,,,,,,,,,
8クリック目,江戸川コナン,そうなんだ…がんばってね…,2,江戸川コナン,3,,非表示,0,,,,,,,,,
9クリック目,工藤有希子,新ちゃん！,,,,2,工藤有希子,94,,,,,,,,,
10クリック目,江戸川コナン,うわっ…声がでかいよっ！,10,江戸川コナン,3,,,,,,,,,,,,
11クリック目,工藤有希子,大丈夫よ！もう誰もいないから…それよりも、そろそろ真犯人の目星はついたのかしら？,,,,3,工藤有希子,94,,,,,,,,,
12クリック目,江戸川コナン,"そんな簡単じゃねーよ…密室のトリックはわかったけど、犯人につながる証拠が
まだ何もねーし…",11,江戸川コナン,3,,,,,,,,,,,,
13クリック目,江戸川コナン,ここは海の上…犯行に使った凶器を海に捨てるなんて、簡単にできちまうだろうしな…,15,江戸川コナン,3,,,,,,,,,,,,
14クリック目,工藤有希子,…でも、やっぱり真犯人は、あの3人の内の誰か…でしょ？,,,,1,工藤有希子,94,,,,,,,,,
15クリック目,江戸川コナン,それは間違いないと思うけど…3人とも動機がありそうで、でも確実と言えねーし…,,,,,,,,,,,,,,,
16クリック目,江戸川コナン,それに…犯行時刻の午後4時には、3人ともアリバイが…,,,,,,,,,,,,,,,
17クリック目,工藤有希子,そうなのよねえ…,,,,,,,,,,,,,,,
18クリック目,工藤優作,…苦戦してるのか？,,,,,,,1,工藤優作,93,,,,,,
19クリック目,工藤有希子,あら…！,,,,5,工藤有希子,94,,,,,,,,,
20クリック目,江戸川コナン,父さん…部屋にこもってたんじゃなかったのかよ…？,10,江戸川コナン,3,,,,,,,,,,,,
21クリック目,工藤優作,いやあ、さすがに息が詰まってね…外の空気を吸いに出たら、事件だと言うじゃないか…,,,,,,,,,,,,,,,
22クリック目,工藤有希子,"ああ…えーと、それはね…あなたが小説に集中できるようにって思って、
わざと知らせなかったのよ…ねっ、新ちゃん？",,,,6,工藤有希子,94,,,,,,,,,
23クリック目,江戸川コナン,ああ、苦戦なんてしてねーから…このまんま部屋でずーっと小説書いてて大丈夫だぜ…,2,江戸川コナン,3,,,,,,,,,,,,
24クリック目,工藤優作,"ふふ…そうさせてもらうよ…体を動かしたら、頭の血の巡りも良くなったみたいだしな…
なんとか良い作品が書けそうだよ…",,,,,,,,,,,,,,,
25クリック目,工藤優作,じゃあな…,,,,,,,,,,,,,,,
26クリック目,江戸川コナン,ん…血の巡りが良くなった…？,13,江戸川コナン,3,,,,,非表示,0,,,,,,
27クリック目,阿笠博士,おや…有希子さん、今のは優作君じゃなかったかの…？,,,,,,,1,阿笠博士,6,,,,,,
28クリック目,工藤有希子,ええ、阿笠さん…彼、小説の締切に追われてて、ずっと部屋に…,,,,5,工藤有希子,94,,,,,,,,,
29クリック目,江戸川コナン,（体を動かしたら…血の巡りが……そうか！？）,10,江戸川コナン,3,,,,,,,,,,,,
30クリック目,阿笠博士,"なんじゃ…せっかく久しぶりに日本に帰ってきたというのにのお…
…ん？どうした、新一？",,,,,,,,,,,,,,,
31クリック目,江戸川コナン,ああ…どうやら、真相にたどり着けそうだぜ…,1,江戸川コナン,3,,,,,,,,,,,,
32クリック目,阿笠博士,おお！犯人がわかったのか！？,,,,,,,,,,,,,,,
33クリック目,江戸川コナン,（アリバイのトリックは、多分あの方法だ…あとは、誰がそれをやったのか…）,,,,,,,,,,,,,,,
