調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,吉田歩美,５５，５６，５７，５８……,,,,9,吉田歩美,12,,,,,,,住宅街,2,IN,,,,,
2クリック目,毛利蘭,"あれ？　歩美ちゃん？
こんなところで何してるの？",3,毛利蘭,8,,,,,,,,,,,,,,,,,
3クリック目,吉田歩美,"あ、蘭お姉さん!
わたし、学校の壁新聞に乗せるために
学校の近くにあるお店の情報を集めてるんだ!",,,,3,吉田歩美,12,,,,,,,,,,,,,,
4クリック目,毛利蘭,"お店の情報？
さっきは何か数字を数えてるみたいだったけど……",2,毛利蘭,8,,,,,,,,,,,,,,,,,
5クリック目,吉田歩美,"うん、学校の近くにある駄菓子屋さんまで
学校から<font color='#FF9D9D'>どのくらいの距離があるか測ってるんだ</font>！",,,,,,,,,,,,,,,,,,,,
6クリック目,毛利蘭,"ひょっとして足の幅で距離を測ってるの？
……でもそれじゃあ、正しくは測れないかもね……",,,,,,,,,,,,,,,,,,,,
7クリック目,吉田歩美,"うん……だけど学校にあるメジャーだと
３ｍまでしか測れないの…",,,,,,,,,,,,,,,,,,,,
8クリック目,吉田歩美,"……あ、でもね、計ってるのは歩美だけじゃないの！
でも他の皆も、お店までの距離測ってる人がいたと思う…
もしかしたら…<font color='#FF9D9D'>誰かが正しく測れてる</font>かもしれない！",,,,1,吉田歩美,12,,,,,,,,,,,,,,
9クリック目,毛利蘭,"そうなのね……
みんなはどうやって測っているのかしら？",1,毛利蘭,8,,,,,,,,,,,,,,,,,
10クリック目,吉田歩美,"うーん…新聞作りは皆でやってて…
誰が何を担当してるかよく覚えてないなぁ…",,,,,,,,,,,,,,,,,,,,
11クリック目,吉田歩美,"でも、<font color='#FF9D9D'>野球のボール</font>を持った<font color='#FF9D9D'>コナン</font>君を見たよ…",,,,,,,,,,江戸川コナン,3,右,,,,,,,,
12クリック目,吉田歩美,"他には<font color='#FF9D9D'>ガチャガチャのカプセル</font>を持った<font color='#FF9D9D'>光彦</font>君と…",,,,,,,,,,円谷光彦,15,右,,,,,,,,
13クリック目,吉田歩美,"<font color='#FF9D9D'>一輪車</font>を手で押してる<font color='#FF9D9D'>哀</font>ちゃんも見かけたよ…",,,,,,,,,,灰原哀,9,右,,,,,,,,
14クリック目,吉田歩美,あ！あと、元太君は、うなぎやさんを調べるって出かけてから見てないよ…,,,,,,,,,,,,,,,,,,,,
15クリック目,毛利蘭,"えーと…じゃぁ候補者は3人で…
学校から周りのお店までの距離を一番正確に測れるのは…
…あ！わかったかもしれない！",,,,,,,,,,,,,,,,,,,,
16クリック目,吉田歩美,本当！？蘭おねえさん！,,,,3,吉田歩美,12,,,,,,,,,,,,,,
