エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,小嶋元太,"みつけたぜ、オレのお菓子！
やっぱり<font color='#FF9D9D'>犬小屋</font>の中が正解だったんだ！",1,小嶋元太,17,1,江戸川コナン,3,,,,,,,公園,3,IN,,,,,
2クリック目,吉田歩美,……だけどどうして犬小屋の中に？,,,,,,,3,吉田歩美,12,,,,,,,,,,,
3クリック目,江戸川コナン,"手を叩く音を合図に
ここの飼い犬が持っていったんだよ…",,"非表示",0,2,江戸川コナン,3,,,,,,,,,,,,,,
4クリック目,円谷光彦,犬が……ですか？,1,円谷光彦,15,,,,,"非表示",0,,,,,,,,,,,
5クリック目,江戸川コナン,"茂みの奥は、ちいさな穴が開いているだけの壁だし、
視界の狭い茂みの中でお菓子をみつけるなんて
人間には簡単にできないよ…",,"非表示",0,,,,,,,,,,,,,,,,,
6クリック目,江戸川コナン,"でも、鼻の利く犬ならきっと簡単に見つけられるだろ？
手を叩く音が合図だって教え込まれた犬が、
お菓子を見つけてここに隠したんじゃないかな？",,,,,,,,,,,,,,,,,,,,
7クリック目,中村隆弘,"はーっはっはっは！　よくわかったな！
キミのいう通り、お菓子を持ちだしたのはうちの犬さ！",,,,,,,1,中村隆弘,68,,,,,,,,,,,
8クリック目,中村隆弘,"何か芸を覚えさせようと、
<font color='#FF9D9D'>手を叩く音がしたらお菓子をさがせ</font>ってしつけたのさ！
そしたら、庭だけでなく公園の方まで行くようになってしまったのさ！",,,,,,,,,,,,,,,,,,,,
9クリック目,吉田歩美,"そうだったんだ！
……だけど元太君、よくわかったね！",,,,,,,2,吉田歩美,12,,,,,,,,,,,
10クリック目,小嶋元太,"あったりめぇよ！
犬小屋からオレが茂みに置いた、うな重パイのにおいがしたからな！",1,小嶋元太,17,,,,,,,,,,,,,,,,,
11クリック目,円谷光彦,"まったく……
元太君ってうなぎに関しては犬並みの嗅覚なんですね！",1,円谷光彦,15,,,,,,,,,,,,,,,,,
12クリック目,江戸川コナン,（おいおい、マジかよ……ってか、うな重パイって…）,,,,5,江戸川コナン,3,,,,,,,,,,,,,,
