調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,円谷光彦,"みんな、聞きましたか？
最近この公園に、妙な噂があるらしいんです…",1,円谷光彦,15,1,江戸川コナン,3,,,,,,,公園,3,IN
2クリック目,吉田歩美,"あ、それって
お菓子が消えちゃうっていうやつでしょ？",,,,,,,1,吉田歩美,12,,,,,,
3クリック目,江戸川コナン,……<font color='#FF9D9D'>お菓子が消える</font>？,,,,,,,,,,,,,,,
4クリック目,小嶋元太,"…オレも聞いた！
なぁ、実際にやってみようぜ！",3,小嶋元太,17,,,,,,,,,,,,
5クリック目,小嶋元太,"…たしか…この公園の隅の茂みにお菓子を置いて…
少し離れたところに立って手を３回叩くんだ！",,,,,,,,,,,,,,,
6クリック目,小嶋元太,"…それからしばらく待って………
………
茂みをのぞいてみると……",,,,,,,,,,,,,,,
7クリック目,江戸川コナン,……あれ？　本当だ！お菓子が消えてる！,,,,10,江戸川コナン,3,,,,,,,,,
8クリック目,吉田歩美,"えぇ！本当に噂通りになっちゃった……
コナン君、これってきっと超常現象だよね…",,,,,,,3,吉田歩美,12,,,,,,
9クリック目,江戸川コナン,"超常現象？
……そんなことあるわけねーじゃねーか…",,,,1,江戸川コナン,3,,,,,,,,,
10クリック目,江戸川コナン,"（……ん？　茂みの奥の壁に穴が開いてるぞ？　
それにこれは……<font color='#FF9D9D'>動物の毛</font>？）",,,,,,,,,,,,,,,
11クリック目,江戸川コナン,"やっぱり何か仕掛けがありそうだ…
みんなでお菓子がどこに消えたのかさがしてみようぜ！",,,,2,江戸川コナン,3,,,,,,,,,
12クリック目,,数分後……,,非表示,0,,非表示,0,,非表示,0,,,,,,
13クリック目,小嶋元太,"このあたりにお菓子を隠せるとしたら
オレはあの家の<font color='#FF9D9D'>犬小屋</font>が怪しいと思うぜ！",1,小嶋元太,17,,,,,,,犬小屋,532,中央,,,
14クリック目,円谷光彦,"でもどうやってお菓子を持ち去ったんです？
きっと誰かが持ち去って隠したんですよ…",2,円谷光彦,15,,,,,,,,,中央：非表示,,,
15クリック目,円谷光彦,"…よって、ボクは、近くの家の<font color='#FF9D9D'>郵便箱</font>が怪しいと思います！
持ち去った人が隠すとしたらそこです！",,,,,,,,,,郵便箱,547,中央,,,
16クリック目,吉田歩美,"わたしは<font color='#FF9D9D'>ガチャガチャのカプセル</font>をみつけたよ！
これ、何かの手がかりにならないかな？",,,,,,,2,吉田歩美,12,ガチャのカプセル,523,中央,,,
17クリック目,江戸川コナン,（そうか、お菓子が消えた理由はやっぱり……）,,,,13,江戸川コナン,3,,,,,,中央：非表示,,,
