ステージ1導入ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利蘭,"あー今日の模試、疲れちゃった…
あら？コナン君、すごく眠そうね…",,,,9,毛利蘭,8,,,,,,,オフィス街,6,IN,,,,,
2クリック目,江戸川コナン,暗号のテストを考えてたんだ…,6,江戸川コナン,3,,,,,,,,,,,,,,,,,
3クリック目,鈴木園子,なぁにがテストよ！ガキんちょのくせに小難しいことしてるわね…,,,,,,,1,鈴木園子,13,,,,,,,,,,,
4クリック目,江戸川コナン,"う、うん…探偵団のみんなで解こうと思って…
ゲームみたいなもんだよ…",5,江戸川コナン,3,,,,,,,,,,,,,,,,,
5クリック目,鈴木園子,"ふん、ガキんちょの考えた問題なんて、どうせ子供だましでしょ？…えーと…
この暗号は…うーん…うーむ……",,,,,,,,,,,,,,,,,,,,
6クリック目,毛利蘭,"結構、難しそうな暗号文ね…",,,,7,毛利蘭,8,,,,,,,,,,,,,,
7クリック目,江戸川コナン,"蘭姉ちゃん、園子姉ちゃん、この暗号の答えを教えるから、質問に来た人にヒントを
あげて欲しいんだ！",3,江戸川コナン,3,,,,,,,,,,,,,,,,,
8クリック目,毛利蘭,何か面白そう！園子も一緒にやろうよ！,,,,1,毛利蘭,8,,,,,,,,,,,,,,
9クリック目,鈴木園子,ええ～！…面倒くさいけど、蘭がそう言うならつきあってあげてもいいわよ…,,,,,,,,,,,,,,,,,,,,
10クリック目,江戸川コナン,ごにょごにょ…,2,江戸川コナン,3,,,,,,,,,,,,,,,,,
11クリック目,鈴木園子,なるほどね！この暗号文は４行あるのは文章に分かれているんだって！！,,,,,,,2,鈴木園子,13,,,,,,,,,,,
12クリック目,毛利蘭,あ、園子！まだ言っちゃダメだよ！,,,,9,毛利蘭,8,,,,,,,,,,,,,,
13クリック目,鈴木園子,"あ…
ま、これだけじゃ暗号は解けないわよ！",,,,,,,1,鈴木園子,13,,,,,,,,,,,
14クリック目,江戸川コナン,"そ、そうだね…
じゃぁ誰かが暗号について質問して来たらヒントを教えてあげてね！",5,江戸川コナン,3,,,,,,,,,,,,,,,,,
