ステージ2導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,阿笠博士,何じゃと！？メルドック氏が殺された…！？,15,阿笠博士,6,,,,,,,,,,洋館（赤の部屋）,25,IN
2クリック目,江戸川コナン,ああ…まだハッキリしたわけじゃねーけど…これは多分、密室で起こった殺人事件だ…,,,,13,江戸川コナン,3,,,,,,,,,
3クリック目,円谷光彦,うーん…ボク達、少年探偵団の前に、またしても大事件発生ですね！,,,,,,,14,円谷光彦,15,,,,,,
4クリック目,小嶋元太,よーし！オレ達が解決してやろーぜ！,3,小嶋元太,17,,,,,,,,,,,,
5クリック目,吉田歩美,うん！頑張ろうね！,,,,,,,3,吉田歩美,12,,,,,,
6クリック目,江戸川コナン,バーロー！オメー達は首を突っ込むんじゃねーよ！おとなしくしてるんだぞ！,,,,11,江戸川コナン,3,,,,,,,,,
7クリック目,小嶋元太,ちぇっ…何だよ…つまんねーな！,5,小嶋元太,17,,,,,,,,,,,,
8クリック目,灰原哀,ま、工藤君に言われたからって、そう簡単におとなしくなるとは思えないけど…,,,,11,灰原哀,9,,,,,,,,,
9クリック目,毛利小五郎,"…それでは、単刀直入に伺いますが、
皆さんが亡くなったメルドック氏を最後に見たのはいつの事ですか？",,,,,,,7,毛利小五郎,4,,,,,,
10クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,私達は3人とも、午後3時頃から夫と一緒に居ましたわ…,1,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,,,,,,,
11クリック目,トニー・シンプソン,"はい、ティータイムを4人で過ごしていたんです…
その後、しばらくしてメルドック会長が「ひと汗流してくる」と言って、
ひとりでジムに行きました…",,,,1,トニー・シンプソン,100,,,,,,,,,
12クリック目,井戸原耕市,ああ…確か午後3時45分頃だったかな…私はその時、時計を見たんでよく覚えています…,1,井戸原耕市,97,,,,,,,,,,,,
13クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,その後は、夫の姿は誰も見ていません…,5,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,96,,,,,,,,,,,,
14クリック目,毛利小五郎,なるほど…では、死亡推定時刻の午後4時頃には皆さんはどこにいましたか？,,,,,,,7,毛利小五郎,4,,,,,,
15クリック目,ﾒﾘﾝﾀﾞ･ﾒﾙﾄﾞｯｸ,"夫がジムに行った後は1時間ほど3人で一緒にいました…
だから、夫が殺された時刻には、皆ここに…",,,,,,,,,,,,,,,
16クリック目,井戸原耕市,船のクルーや他のお客さんに聞いてもらえば、それは証明できると思いますよ…,1,井戸原耕市,97,,,,,,,,,,,,
17クリック目,毛利小五郎,"そのようですな…ん？井戸原さん…少し顔色がお悪いようですが…
どこか、お体の具合でも…？",,,,,,,,,,,,,,,
18クリック目,井戸原耕市,え？…いやあ、大丈夫です…ちょっと船酔い気味でね…はは…,2,井戸原耕市,97,,,,,,,,,,,,
19クリック目,円谷光彦,うーん…3人ともアリバイがある…みたいですね…,,非表示,0,,非表示,0,5,円谷光彦,15,,,,,,
20クリック目,吉田歩美,"でも…奥さんのメリンダさん、すごい美人ね…あれ？
でもメルドックさんとすごく歳が離れてるんじゃない？",,,,,,,5,吉田歩美,12,,,,,,
21クリック目,小嶋元太,歳の差婚ってヤツだな！最近、多いんだって、母ちゃんが言ってたぜ！,1,小嶋元太,17,,,,,,,,,,,,
22クリック目,小嶋元太,ハッ…待てよ！？大金持ちの若くて美人の奥さんって言えば…もしかして…,10,小嶋元太,17,,,,,,,,,,,,
23クリック目,円谷光彦,あっ…財産目当てで結婚して！スキを見て夫を…ありそうですよね！！,,,,,,,14,円谷光彦,15,,,,,,
24クリック目,灰原哀,…あなた達…コソコソと盗み聞きは良くないわよ…,,,,4,灰原哀,9,,,,,,,,,
25クリック目,吉田歩美,あ…哀ちゃん！？,,,,,,,10,吉田歩美,12,,,,,,
26クリック目,江戸川コナン,それに、テレビの推理ドラマの見過ぎじゃねーのか？…そんな単純な話…,,,,11,江戸川コナン,3,,,,,,,,,
27クリック目,円谷光彦,で…ですよね…,,,,,,,5,円谷光彦,15,,,,,,
28クリック目,横溝参悟,おや…君達は…！？,1,横溝参悟,20,,,,,,,,,,,,
29クリック目,江戸川コナン,"横溝警部…！？
（…あ、そうか…ここは富士山が良く見える駿河湾…静岡県警の管轄だったっけ…）",,,,10,江戸川コナン,3,,,,,,,,,
30クリック目,横溝参悟,ということは…毛利探偵もこの船に！？,1,横溝参悟,20,,,,,,,,,,,,
31クリック目,毛利小五郎,ん…誰か呼んだか？,,,,,,,1,毛利小五郎,4,,,,,,
