エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,阿笠博士,さてさて……コナン君、さすがの君もこの問題は分かるまい！,,,,12,阿笠博士,6,,,,,,,公園,3,IN,,,,,
2クリック目,江戸川コナン,"あのなぁ……
博士、このクイズはダジャレだろ？",6,江戸川コナン,3,,,,,,,,,,,,,,,,,
3クリック目,灰原哀,"それぞれの食器の使用目的から答えが出るわね……
トングは掴む、フォークは刺す、ナイフは切る、スプーンはすくう……",,,,,,,2,灰原哀,9,,,,,,,,,,,
4クリック目,江戸川コナン,"んで、そこからスプーンのすくうを言いかえると……
巣食う、巣を作って住むって言葉になるから……",3,江戸川コナン,3,,"非表示",0,,,,,,,,,,,,,,
5クリック目,江戸川コナン,正解は、スプーンを選んだ光彦だよ！,,,,,,,2,円谷光彦,15,スプーン,227,中央,,,,,,,,
6クリック目,円谷光彦,"おぉ～……
さすがですね、コナン君！
ボク、そこまで考えていませんでした……",,,,,,,,,,,,"中央：非表示",,,,,,,,
7クリック目,阿笠博士,うーむ、やはりワシもまだまだじゃな……,,,,5,阿笠博士,6,,,,,,,,,,,,,,
8クリック目,小嶋元太,"なー、もう良いだろ！
早く飯食おうぜー！",2,小嶋元太,17,,,,,,,,,,,,,,,,,
9クリック目,毛利蘭,"そうだね！
サンドイッチたべよっか！",,,,,,,2,毛利蘭,8,,,,,,,,,,,
10クリック目,小嶋元太,"へへっ！
それじゃあいただきまーすっ！",,,,,,,,,,,,,,,,,,,,
