カフェ,,,Lv6,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,スプーン,,4
事件現場（物探し）,,,カフェ,,3
クエストレベル,,,6,,1
依頼現場／対決場所,,,公園,,2
事件名,,,変わったお家,,6
事件概要,,,博士と歩美、元太、光彦、コナン、灰原、蘭はカフェで購入したドリンクやサンドイッチなどを持って公園へとやって来た。元太がプラスチックのフォークを持って、元気よく「いただきます！」と声を上げかけたところで、博士は割り込むようにして以下のクイズを出題した。「カフェで暮らしている食器たちはそれぞれ別々の場所に家を持っている。その中で、巣を作って住んでいる食器がいる。それは一体どの食器？ヒントは食べ方じゃよ」博士のなぞなぞに対して、歩美はトング、元太はフォーク、蘭はナイフ、光彦はスプーンと答えた。コナンと灰原は「まただじゃれね」と話し合っている。正解したのは上記4人の内の誰か？,,287
依頼者,,,阿笠博士,,4
犯人名,,,円谷光彦,,4
はずれ容疑者、物証①,,,毛利蘭,：トング,4
はずれ容疑者、物証②,,,小嶋元太,：フォーク,
はずれ容疑者、物証③,,,吉田歩美,：ナイフ,
