調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,桜庭おさむ,"チーム対抗宝探しゲームも、いよいよ後半です！鈴木園子さんチームの驚異的な
巻き返しを見せ、首位争いに参戦！",,,,1,桜庭おさむ,92,,,,,,,カフェ,11,IN
2クリック目,桜庭おさむ,"しかし、他のチームもまだまだ優勝のチャンスはあります！
引き続き頑張って下さい！",,,,,,,,,,,,,,,
3クリック目,桜庭おさむ,それでは今回のヒントは…こちらです！,,,,,,,,,,毛虫,60004,左,,,
4クリック目,二階りか子,しっかりしてよ！ふたりでケーキバイキング行くんだから！,1,二階りか子,89,,非表示,0,,,,,,左：非表示,,,
5クリック目,数藤学,わ、分かってるよ！ここから本気出すって！,,,,1,数藤学,88,,,,,,,,,
6クリック目,小嶋元太,楽勝だと思ってたけど、そうはいかねーみてーだな！,,非表示,0,,非表示,0,1,小嶋元太,17,,,,,,
7クリック目,吉田歩美,わたし達もがんばらなくちゃね！,,,,3,吉田歩美,12,,,,,,,,,
8クリック目,円谷光彦,気のせいか、コナン君は集中力を欠いているような…,14,円谷光彦,15,,,,,,,,,,,,
9クリック目,江戸川コナン,あははは、今日はちょっと調子ワリーのかもな？,,,,,,,22,江戸川コナン,3,,,,,,
10クリック目,新出智明,あれ？コナン君、具合でも悪いのかい？,,非表示,0,1,新出智明,18,,,,,,,,,
11クリック目,江戸川コナン,い、いやそんなんじゃないよっ！,,,,,,,,,,,,,,,
12クリック目,江戸川コナン,（ケーキ目当てに、本気出ねーだけだよ…）,,,,,,,11,江戸川コナン,3,,,,,,
