ステージ6導入ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,小嶋元太,"はあ・・・テスト、早く終わんねえかなあ…
もうオレ、頭の中に真っ赤なバツが次々に浮かんできて…うう…また腹が…！",,,,5,小嶋元太,17,,,,,,,校庭,7,IN,,,,,
2クリック目,灰原哀,そんなこと思い浮かべるの、テストがバツばっかりのあなただけよ…,,,,,,,4,灰原哀,9,,,,,,,,,,,
3クリック目,吉田歩美,"でも、元太君も大きなまるがついてるときがあるじゃない！テストの右上に
おっきいまる！",1,吉田歩美,12,,,,,,,,,,,,,,,,,
4クリック目,円谷光彦,歩美ちゃん！…それはゼロですよ…0点のゼロ…！,,,,,,,10,円谷光彦,15,,,,,,,,,,,
5クリック目,小嶋元太,…ううっ！…かーちゃん！…かんべんしてくれ～…,,,,,,,,,,,,,,,,,,,,
6クリック目,円谷光彦,…右上のまる…そういえば、この暗号にも、ときどきついているのがありますね！,,,,,,,1,円谷光彦,15,,,,,,,,,,,
7クリック目,吉田歩美,でも、これ黒いまると、白いまるの2種類あるよ…？,3,吉田歩美,12,,,,,,,,,,,,,,,,,
8クリック目,円谷光彦,"あっ…きっと「が・ぎ・ぐ・げ・ご」とかのてんてんと、「ぱ・ぴ・ぷ・ぺ・ぽ」とかの
まるじゃないですかね！？",,,,,,,2,円谷光彦,15,,,,,,,,,,,
9クリック目,灰原哀,ふふ…濁点と半濁点ということね…,,,,,,,1,灰原哀,9,,,,,,,,,,,
10クリック目,小嶋元太,…そうか！！光彦、オメースッゲーな！！,,,,1,小嶋元太,17,,,,,,,,,,,,,,
11クリック目,灰原哀,でも…黒と白…どっちが濁点で、どっちが半濁点なのかしらね…,,,,,,,,,,,,,,,,,,,,
