調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,鈴木園子,"ねぇ、蘭……
学校の近くにある<font color='#FF9D9D'>廃屋の窓ガラスが割られた</font>話、知ってる？",1,鈴木園子,13,1,毛利蘭,8,,,,,,,教室,1,IN,,,,,
2クリック目,毛利蘭,"新聞部が騒いでたよね…知ってるよ……
あの事件って割った人が立ち去るのが目撃されてるんでしょ？",,,,,,,,,,,,,,,,,,,,
3クリック目,鈴木園子,そうなの！実は…その目撃者は、アタシなのよ！,2,鈴木園子,13,,,,,,,,,,,,,,,,,
4クリック目,毛利蘭,"えぇ！あれ園子だったの？
大丈夫？怪我とかしなかった？",,,,7,毛利蘭,8,,,,,,,,,,,,,,
5クリック目,鈴木園子,"ヘーキよ！
でも、立ち去った人の顔までは分からなかった……
そして、この事件には不可解なことがあるの……",,,,,,,,,,,,,,,,,,,,
6クリック目,毛利蘭,不可解なこと？,,,,7,毛利蘭,8,,,,,,,,,,,,,,
7クリック目,鈴木園子,"ガラスを割るのに使った<font color='#FF9D9D'>道具が見つからなかった</font>の！
現場から立ち去った人は手ぶらだったし…
現場にもそれらしいものはなかったの！",7,鈴木園子,13,,,,,,,,,,,,,,,,,
8クリック目,毛利蘭,"わたしは割れたガラスの近くに
<font color='#FF9D9D'>小石がたくさん散らばってた</font>って聞いたよ？",,,,13,毛利蘭,8,,,,,,,,,,,,,,
9クリック目,鈴木園子,"小石じゃ窓ガラスは割れないわよ！
かといって素手で割ったらケガするだろうし……
どうやってガラスを割ったんだろう？",2,鈴木園子,13,,,,,,,,,,,,,,,,,
10クリック目,毛利蘭,園子が見た人は、実は割っていないんじゃない？,,,,3,毛利蘭,8,,,,,,,,,,,,,,
11クリック目,鈴木園子,ガラスの割れた直後に、駆けつけたんだから間違いないわよ！,1,鈴木園子,13,,,,,,,,,,,,,,,,,
12クリック目,鈴木園子,"ガラスの割られ方から
おそらく…<font color='#FF9D9D'>棒のようなものを使った</font>みたいなんだけど…
どこにもそれらしいものがないなんて不思議よね……",7,鈴木園子,13,,,,,,,,,,,,,,,,,
13クリック目,鈴木園子,"あの廃屋ってネコのオバケが出るっていうし…
もしかしたら<font color='#FF9D9D'>呪いの力</font>で割ったのかも！",,,,,,,,,,,,,,,,,,,,
14クリック目,毛利蘭,"ち、ちょっと、園子！
変な事言わないでよっ！",,,,7,毛利蘭,8,,,,,,,,,,,,,,
15クリック目,鈴木園子,"だーいじょうぶよ！犯人は人間だから！
実は、後をつけてはその人がサッカー部の部室に入るところまで見てたのよ！",2,鈴木園子,13,,,,,,,,,,,,,,,,,
16クリック目,毛利蘭,なーんだー！それならサッカー部の部室に入っちゃえばよかったじゃない！,,,,2,毛利蘭,8,,,,,,,,,,,,,,
17クリック目,鈴木園子,"それが…部活が始まる前で、たくさん人が居たからわからなかったのよ！
サッカー部の部室を調べれば何か分かるかも！
ねえ、今から行ってみない？",,,,,,,,,,,,,,,,,,,,
