ステージ１導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,綾小路文麿,ふむ…亡くなったのは、鷹梨家の当主、道明はん…死因は井戸に転落したことによる溺死…,1,綾小路文麿,36,,,,,,,鷹梨道明,10006,右,旧公家屋敷の日本間,28,IN
2クリック目,綾小路文麿,そして、第一発見者は娘さんの路子はん…あなたですね？,7,綾小路文麿,36,,,,,,,,,,,,
3クリック目,鷹梨路子,はい…,,,,5,鷹梨路子,78,,,,,,右：非表示,,,
4クリック目,綾小路文麿,そのときの状況は…？,1,綾小路文麿,36,,,,,,,,,,,,
5クリック目,鷹梨路子,"今日は、私は午前中から出かけていました…家には父がひとりでいたと思います…
それで、さっき…４時ごろに帰ってきたんです…",,,,,,,,,,,,,,,
6クリック目,鷹梨路子,"でも、家には父の姿はなくて…ちょっと出かけたんだと思ってたんですけど…
庭に父の履物が落ちているのに気付いて…",,,,,,,,,,,,,,,
7クリック目,鷹梨路子,まさかと思って、井戸を覗いたら、中に…父が…！,,,,,,,,,,,,,,,
8クリック目,綾小路文麿,なるほど…それで、他にその様子を見た人は…？,7,綾小路文麿,36,,,,,,,,,,,,
9クリック目,鷹梨路子,私が大声で父を呼ぶ声を聞きつけて、あの方たちが来てくれたんです…,,,,,,,,,,,,,,,
11クリック目,綾小路文麿,毛利はんやないですか！？それに、服部君も…そして…白鳥警部…あんたさんらが、どうしてここに！？,,,,,,,2,毛利小五郎,4,,,,,,
12クリック目,毛利小五郎,"いや、それが、たまたまこの屋敷の前を通りかかったら、こちらのお嬢さんの悲鳴が
聞こえて…それで来てみたら、こんなことに…",,,,,,,,,,,,,,,
13クリック目,白鳥任三郎,はあ…目暮警部がおっしゃってた、死神と言うのは本当かも知れませんね…,,,,1,白鳥任三郎,26,,,,,,,,,
14クリック目,毛利小五郎,ん？何か言ったか…？,,,,,,,11,毛利小五郎,4,,,,,,
15クリック目,白鳥任三郎,いえ、お気にせずに…,,,,,,,,,,,,,,,
16クリック目,綾小路文麿,では、毛利はん状況を説明して頂けますか？,7,綾小路文麿,36,,,,,,,,,,,,
17クリック目,毛利小五郎,"ああ、駆けつけたものの、すでにこの狭い井戸の底に落ちていて…
助け出すこともできなかったんだよ…",,,,,,,7,毛利小五郎,4,,,,,,
18クリック目,綾小路文麿,屋敷の周辺で誰か不審な者を見かけたりは…？,1,綾小路文麿,36,,,,,,,,,,,,
19クリック目,毛利小五郎,いや、そのときは、俺たちの他には人通りはなかったな…,,,,,,,7,毛利小五郎,4,,,,,,
20クリック目,綾小路文麿,"なるほど…被害者はこの屋敷の中にひとりでいたとすると、目撃者も出そうに
ありまへんな…",1,綾小路文麿,36,,非表示,0,,非表示,0,,,,,,
21クリック目,鷹梨路子,ううっ…お父さん…どうして、こんな…！,,,,5,鷹梨路子,78,,,,,,,,,
,,,,非表示,0,,非表示,0,,非表示,0,,,,,,
22クリック目,服部平次,…なあ、工藤…何か見つかったか？,,,,15,服部平次,5,,,,,,,,,
23クリック目,江戸川コナン,ああ…この井戸の縁に、何かが強く擦れた跡があったぜ…,14,江戸川コナン,3,,,,,,,,,,,,
24クリック目,服部平次,"…この跡、縦に細長いな…きっとロープか何かや…
けど、何でロープの跡が？誰かが井戸の中に下りようとしたんやろか？",,,,15,服部平次,5,,,,,,,,,
25クリック目,江戸川コナン,ああ、考えられるな…で、おまえの方はどうなんだ…服部？,13,江戸川コナン,3,,,,,,,,,,,,
26クリック目,服部平次,"ああ、道明さんの遺体をちらっと見たんや…落ちた時の傷が体のあちこちにできてたけど
ちょっと変わった傷があったんや…",,,,,,,,,,,,,,,
27クリック目,服部平次,…右の手のひらに、太いあざのような傷跡が残っとった…,,,,,,,,,,,,,,,
28クリック目,江戸川コナン,手のひらの傷跡…？,14,江戸川コナン,3,,,,,,,,,,,,
29クリック目,服部平次,"そうや…太い線のような擦り傷や…出血もしとるようやった…
何かを強く握ったんやろか…？",,,,,,,,,,,,,,,
30クリック目,江戸川コナン,手のひらに何かを強く握ったような擦り傷か…,13,江戸川コナン,3,,,,,,,,,,,,
31クリック目,毛利蘭,コナン君！そんなところで何してるの？…ダメよ、警察の人たちの邪魔をしちゃ…,,,,,,,7,毛利蘭,8,,,,,,
32クリック目,江戸川コナン,あ、蘭姉ちゃん…ごめん…平次兄ちゃんがいろいろ調べたいって言うからさ…,22,江戸川コナン,3,,,,,,,,,,,,
33クリック目,服部平次,お、おいっ…このボウズ！オレのせいにするんかい！？,,,,10,服部平次,5,,,,,,,,,
34クリック目,遠山和葉,平次も、大阪やないんやから、あんまり出しゃばらんほうがええんとちゃうの？,,,,,,,1,遠山和葉,11,,,,,,
35クリック目,江戸川コナン,（…まあ、とにかく…気になる点がいくつかあるな…もう少し調べてみるか…）,13,江戸川コナン,3,,,,,,,,,,,,
