,,,毛利蘭　証言①,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,毛利蘭,,,,1,毛利蘭,メルドックさんは、トレーニングウェアを着たままだったのよね…どうしてあんな恰好だったのかな…？,47,,,,,,,,
,,,笹川修一　証言①,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,笹川修一,,,,1,笹川修一,警察が到着するまで船を動かさないように指示されました…しばらくは、ここで停泊しますので、ご了承ください…,52,,,,,,,,
,,,嶋中郁江　証言①,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,嶋中郁江,,,,1,嶋中郁江,不審な人はいません！この船のお客様はメルドック会長のゲストだけですから、そんな人はいないはずです！,49,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
毛利蘭,,1,,,,,,,,,,,,,,
笹川修一,,1,,,,,,,,,,,,,,
嶋中郁江,,1,,,,,,,,,,,,,,
横溝参悟,,0,,,,,,,,,,,,,,
工藤有希子,,0,,,,,,,,,,,,,,
メリンダ,,0,,,,,,,,,,,,,,
シンプソン,,0,,,,,,,,,,,,,,
井戸原耕市,,0,,,,,,,,,,,,,,
工藤優作,,0,,,,,,,,,,,,,,
