河川敷,,,Lv.7,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,ゴーグル,,0
事件現場（物探し）,,,河川敷,,0
クエストレベル,,,7,,0
依頼現場／対決場所,,,河川敷,,0
事件名,,,"幽霊の正体を暴け",,0
事件概要,,,"コナンのクラスの何人かが川で遊んだ後、その近くで肝試しをした。なんと、怪しい光を見たというのだ。後から調べてみると、光は懐中電灯によるものだと分かった。どうやら懐中電灯は木の枝にくくりつけられていたようで、変形した木の枝もその推測を裏付けている。ただし、何で縛り付けたのかが分からない。懐中電灯はかなり大きめのもので、しっかりと縛らなければ簡単に枝から落下してしまうだろう。なお、彼らはロープなどは一切所持していなかった。彼らが縛るのに使った道具が分かれば、犯人も特定できるかもしれない。
真相：木の枝に懐中電灯を縛り付けるには、ゴーグルのゴムの部分を使えばよい。このことから、ゴーグルを持つ同級生（男）が犯人である。彼は悪戯でこのようなことを行ったのである。",,
依頼者,,,吉田歩美,,0
犯人名,,,同級生（男）(浅沼はるお),,0
はずれ容疑者、物証①,,,筋肉自慢の男性(中村隆弘),：空きビン,
はずれ容疑者、物証②,,,阿笠博士,：空き缶,
はずれ容疑者、物証③,,,お嬢様風女の子(高田あおい),：蝶々,
