エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情",左キャラ名,カードID,"表情",中央キャラ,カードID,"表情",右キャラ,カードID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,浅沼はるお,そのゴーグルがどうかしたの？,1,江戸川コナン,3,1,浅沼はるお,48,,,,,,,河川敷,15,IN,,,,,
2クリック目,江戸川コナン,"このゴーグルのゴムの部分を使って
懐中電灯を木の枝に巻き付けたんだろ？",,,,,,,,,,,,,,,,,,,,
3クリック目,浅沼はるお,"ばれちゃったなら仕方ないね……
ボクがゴーグルを使って懐中電灯を枝に吊したんだよ……",,,,,,,,,,,,,,,,,,,,
4クリック目,浅沼はるお,みんなが驚いて走っていったあとに、急いでゴーグルを回収したから絶対にばれないと思ったのに！,,,,,,,,,,,,,,,,,,,,
5クリック目,江戸川コナン,"そんなことだろうと思ったよ……
それで、どうして懐中電灯をゴーグルで吊したりしたんだ？",,,,,,,,,,,,,,,,,,,,
6クリック目,浅沼はるお,"夜のうちに懐中電灯で木を照らしておくと虫が集まるから、
捕まえようと思って……",,,,,,,,,,,,,,,,,,,,
7クリック目,浅沼はるお,"紐を持ってなかったから、
スイミングスクールで使ったゴーグルでつり下げたんだ……",,,,,,,,,,,,,,,,,,,,
8クリック目,浅沼はるお,"そしたら、その懐中電灯の明りを見て
あの女の子たちが凄く驚いちゃって……",,,,,,,,,,,,,,,,,,,,
9クリック目,浅沼はるお,"凄く怖がらせちゃったから
ボクがやったって言い出せなくなっちゃったんだよ……",,,,,,,,,,,,,,,,,,,,
10クリック目,江戸川コナン,"つまり、歩美ちゃんたちを驚かせるつもりはなかったってわけか……
それなら、謝れば歩美ちゃんも許してくれると思うぜ！",2,江戸川コナン,3,,,,,,,,,,,,,,,,,
11クリック目,浅沼はるお,"本当に？
じゃあお詫びとして、捕まえた虫をあの子にあげてくるよ！
珍しい種類のゴキブリが捕まえられたんだ！",,,,,,,,,,,,,,,,,,,,
12クリック目,江戸川コナン,"おい、やめろ！
もっと怖がっちまうっての！",10,江戸川コナン,3,,,,,,,,,,,,,,,,,
