ステージ9導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,跡部透,さぁ！次はこちらのお部屋ですよ…,,,,2,跡部透,74,,,,,,,バー,14,IN
2クリック目,小嶋元太,おう！まかせろ！！,,,,1,小嶋元太,17,,,,,,,,,
3クリック目,吉田歩美,怪盗キッド全然来ないね…,5,吉田歩美,12,,,,,,,,,,,,
4クリック目,円谷光彦,あー！！…もしかして…ボクたちがお宝を見つけたところを、盗みにくるんじゃ…,,,,,,,5,円谷光彦,15,,,,,,
5クリック目,江戸川コナン,(…その可能性に今頃気づくとは…ははは),5,江戸川コナン,3,,,,,,,,,,,,
6クリック目,鈴木園子,"確かに！キッド様がこんなに面倒な暗号を解いて、宝石をひとつひとつ
見つけるより…、全部揃ったところを盗む方が効率的だわ！",,,,7,鈴木園子,13,,,,,,,,,
7クリック目,鈴木園子,"…と、言うことは！宝石を10個集めて待ってたら…
キッド様に会えるってこと！？",,,,2,鈴木園子,13,,,,,,,,,
8クリック目,毛利蘭,"ちょっと園子、何言ってるのよ…
危険だし…やめなよ…",,,,,,,7,毛利蘭,8,,,,,,
9クリック目,小嶋元太,"そうだぞ！宝石は少年探偵団で見つけたんだ！
オメーだけが見つけたんじゃねーぞ！",,,,7,小嶋元太,17,,,,,,,,,
10クリック目,鈴木園子,…わかってるわよ！,,,,5,鈴木園子,13,,,,,,,,,
11クリック目,江戸川コナン,"ねぇねぇ！早く宝石探そうよ～！
ね！小五郎のおじさん…？",3,江戸川コナン,3,,,,,,,,,,,,
12クリック目,毛利小五郎,…お、おう…,,,,,非表示,0,1,毛利小五郎,4,,,,,,
