,,,江戸川コナン①,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,江戸川コナン,,,,1,江戸川コナン,「[[[のりもの]]]」は「のりもの」！！,15,,,,,,,,
,江戸川コナン,,,,1,江戸川コナン,「おしいれ」は「[[[おしいれ]]]」だ！,15,,,,,,,,
,江戸川コナン,,,,1,江戸川コナン,「にほんれっとう」は「[[[にほんれつとう]]]」だよ！,22,,,,,,,,
,江戸川コナン,,,,1,江戸川コナン,「[[[まほうつかい]]]」は「まほうつかい」だね！,21,,,,,,,,
,,,鈴木園子　証言④,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,鈴木園子,,,,1,鈴木園子,「[[[くり]]]」は「くり」よ！,11,,,,,,,,
,鈴木園子,,,,1,鈴木園子,「うま」は「[[[うま]]]」ね…,11,,,,,,,,
,,,灰原哀　証言③,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,灰原哀,,,,1,灰原哀,「[[[がつこう]]]」…これは「がっこう」…,17,,,,,,,,
,灰原哀,,,,1,灰原哀,「ワイングラス」は「[[[わいんぐらす]]]」よ…,19,,,,,,,,
,,,毛利蘭　証言④,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,毛利蘭,,,,1,毛利蘭,「[[[くつをはく]]]」は「くつをはく」…,16,,,,,,,,
,毛利蘭,,,,1,毛利蘭,「[[[いそいでいく]]]」は「いそいでいく」なのよ！,21,,,,,,,,
,,,毛利小五郎　証言②,,60文字以内,,,,,,,,,,,
,,,ID,場面,番号,キャラクター,シナリオ,,,画面,,,,,,確認結果
,,,,,,,"セリフ
54文字以内",字数,備考,左　　　　　　　　　　　　　表示キャラ（表情）,中央　　　　　　　　　　　表示キャラ（表情）,右　　　　　　　　　　　　　表示キャラ（表情）,"背景
(イメージ）",演出／効果,備考,コメント
,毛利小五郎,,,,1,毛利小五郎,「[[[おちやづけ]]]」は「おちゃづけ」だ！,17,,,,,,,,
,毛利小五郎,,,,1,毛利小五郎,「[[[わんぱく]]]」は「わんぱく」だな！,15,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
毛利蘭,2,,,,,,,,,,,,,,,
鈴木園子,2,,,,,,,,,,,,,,,
阿笠博士,0,,,,,,,,,,,,,,,
灰原哀,2,,,,,,,,,,,,,,,
毛利小五郎,2,,,,,,,,,,,,,,,
江戸川コナン,4,,,,,,,,,,,,,,,
