ステージ7導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,暗号は解読できそうかな？,,,,1,江戸川コナン,3,,,,,,,繁華街,5,IN
2クリック目,江戸川コナン,皆からヒントを聞いたから、大丈夫だよね！,,,,,,,,,,,,,,,
3クリック目,江戸川コナン,"暗号がどの文字を示すのかわかったら、50音順に並べて暗号解読表を作ってみるのも
いいと思うよ！",,,,,,,,,,,,,,,
4クリック目,江戸川コナン,"まだ解けない文字が残ってたら、また町で皆にヒントを聞いてみよう！
きっと解読できるはずさ！",,,,2,江戸川コナン,3,,,,,,,,,
5クリック目,小嶋元太,なあ…コナンよお…まだテスト終わらねえのかよ…,5,小嶋元太,17,,,,,,,,,,,,
6クリック目,江戸川コナン,元太…？おい、どうしたんだよ？,,,,10,江戸川コナン,3,,,,,,,,,
7クリック目,円谷光彦,元太君はテスト恐怖症みたいですよ…,,,,,,,1,円谷光彦,15,,,,,,
8クリック目,吉田歩美,テストって聞いただけで、さっきからずっとこうなの…,9,吉田歩美,12,,,,,,,,,,,,
9クリック目,江戸川コナン,はは…そうか…,,,,22,江戸川コナン,3,,,,,,,,,
10クリック目,小嶋元太,もうオレ、ダメかも知れねえ…だって、さっきから全然腹が減らねえんだよ…うう…,5,小嶋元太,17,,,,,,,,,,,,
11クリック目,灰原哀,…どうやら重症みたいね…,,,,,,,4,灰原哀,9,,,,,,
12クリック目,江戸川コナン,じゃ、オレからもヒントをだすぜ！,,,,2,江戸川コナン,3,,,,,,,,,
