高校部室,,,Lv.8,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,バンソウコウ,,0
事件現場（物探し）,,,高校部室,,0
クエストレベル,,,8,,0
依頼現場／対決場所,,,教室,,0
事件名,,,恋愛成就のおまじない？,,0
事件概要,,,"蘭と園子の学校では恋愛成就のおまじないが流行っている。それは好きな人の名前の書かれた小さな紙を一日中手に触れさせておき、それが完遂したら校庭にある一番大きな木の根元にその紙を置いておく。これで恋が叶うというのだ。そして、木の根元でメガネっこの名前が書かれた小さな紙が発見された。どうやら、メガネっこに行為を寄せる男子がおまじないをしていたらしい。これに興味を持った園子がおまじないを行った男子捜しを始める。恐らく、クラス内に犯人がいるであろうことまでは予測できたが、ずっと手に紙を持ち続けていたような人物はいない。犯人はどのようにして恋のおまじないを完遂したのだろうか。
真相：小さな紙片を常に手に密着させておくのに、不自然でないのはバンソウコウである。手に密着させた紙片を覆い隠すように、ヤンキーはバンソウコウを貼ったのである。",,
依頼者,,,鈴木園子,,0
犯人名,,,気谷タケル,,0
はずれ容疑者、物証①,,,ギャル(武井真美),　：ミサンガ,
はずれ容疑者、物証②,,,男子高校生(勝俣ヒロシ),　：制汗スプレー,
はずれ容疑者、物証③,,,応援団長(青島小次郎),　：ベルト,
