調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,鈴木園子,ねぇ、蘭……今、学校で噂になってるおまじない知ってる？,1,鈴木園子,13,1,毛利蘭,8,,,,,,,教室,1,IN
2クリック目,毛利蘭,"好きな人の<font color='#FF9D9D'>名前が書かれた紙を１日中持ち続けて
最後に校庭の木の根元に置いておく</font>んだっけ？",,,,2,毛利蘭,8,,,,,,,,,
3クリック目,鈴木園子,そう、それ！　そのおまじないを誰かがやってるみたいなの！,2,鈴木園子,13,,,,,,,,,,,,
4クリック目,毛利蘭,どうして分かったの？,,,,1,毛利蘭,8,,,,,,,,,
5クリック目,鈴木園子,"校庭の木の根元から、隣のクラスの女の子の名前が書かれた
紙が昨日見つかったのよ！",1,鈴木園子,13,,,,,,,,,,,,
6クリック目,鈴木園子,絶対に誰がおまじないをしたのか見つけてやるわ！,,,,,,,,,,,,,,,
7クリック目,毛利蘭,"やめようよ、園子……
せっかく誰かが秘密でおまじないをしてるのに……",,,,13,毛利蘭,8,,,,,,,,,
8クリック目,鈴木園子,"まーまー、そう固いこと言わないの！
私、昨日校庭の掃除しててそのとき木に近づいた人をみてるのよ…
だから、目星はついてるの！怪しい4人の様子について既にクラスメイトに調査済みだしね！",2,鈴木園子,13,,,,,,,,,,,,
9クリック目,毛利蘭,もう、園子ってば……,,,,,,,,,,,,,,,
10クリック目,鈴木園子,"でも……おまじないを達成するためには好きな人の名前が書かれた紙を
１日中持ってないといけないはずなのに
そんな様子を見せた人が怪しい4人の中にいないのよ……",1,鈴木園子,13,,,,,,,,,,,,
11クリック目,鈴木園子,"折りたためばかなり小さくなるけど
誰にもばれずにずっと持っておくことなんてできるのかな……",,,,,,,,,,,,,,,
12クリック目,毛利蘭,握らなくても、<font color='#FF9D9D'>手に触れているだけ</font>でいいの？,,,,1,毛利蘭,8,,,,,,,,,
13クリック目,鈴木園子,それでおまじないは成功するはずだけど……,2,鈴木園子,13,,,,,,,,,,,,
14クリック目,毛利蘭,そっか……それならもしかして……,,,,14,毛利蘭,8,,,,,,,,,
