ステージ6導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,江戸川コナン,おーい、オメーら…さっきあの部屋で見つけた糸は、ちゃんと横溝刑事に渡したのか？,,,,,,,1,江戸川コナン,3,,,,洋館,13,IN
2クリック目,小嶋元太,おう！もちろんだぜ！一緒に拾った鎖と一緒にな！,3,小嶋元太,17,,,,,,,,,,,,
3クリック目,円谷光彦,でも…ドアチェーンから外れたあの鎖…だいぶ曲がってましたよね…？,,,,5,円谷光彦,15,,,,,,,,,
4クリック目,江戸川コナン,ああ…あれは単純なトリックだよ…あの部屋を密室に見せかけるためのな…,,,,,,,2,江戸川コナン,3,,,,,,
5クリック目,吉田歩美,"すごーい！さすがコナン君！
もう、わかっちゃったのね！！",3,吉田歩美,12,,,,,,,,,,,,
6クリック目,江戸川コナン,"ああ…
（それはわかったけど、肝心なことがわからねえ…）",,,,,,,1,江戸川コナン,3,,,,,,
7クリック目,小嶋元太,それにしても…まだ港に戻らねえのかなあ…たいくつで体がなまっちまうよ…,5,小嶋元太,17,,,,,,,,,,,,
8クリック目,灰原哀,まったく…食欲と体力だけは、誰もあなたにかなわないわ…,11,灰原哀,9,,,,,,,,,,,,
9クリック目,円谷光彦,元太君は体力が余りすぎなんですよ！外のデッキでも走って来たらどうです？,,,,1,円谷光彦,15,,,,,,,,,
10クリック目,小嶋元太,"バーカ！冬の海の上だぞ！
そんなところで走ってたら汗かいて風邪引いちまうよ！",5,小嶋元太,17,,,,,,,,,,,,
11クリック目,江戸川コナン,（えっ…走って…汗…！？）,,,,,,,10,江戸川コナン,3,,,,,,
12クリック目,毛利小五郎,"おい！ガキども！こんな所でウロチョロしてたら捜査のジャマなんだよ！
部屋で大人しくしてろ！",10,毛利小五郎,4,,,,,,,,,,,,
13クリック目,江戸川コナン,あ…おじさん…（あれ…今、何かひらめいた気がしたんだけど…）,,,,,,,2,江戸川コナン,3,,,,,,
14クリック目,横溝参悟,"毛利さん！
井戸原さんのことを調べて、いくつかわかったことがありましたよ！",,,,1,横溝参悟,20,,,,,,,,,
15クリック目,毛利小五郎,おう！何がわかったんだ！？,1,毛利小五郎,4,,,,,,,,,,,,
16クリック目,横溝参悟,"井戸原さんとメルドックさんは、確かに大学時代の同期で、その後一緒に会社を
立ち上げたそうですが、その3年後に、井戸原さんが辞めています…",,,,,,,,,,,,,,,
17クリック目,毛利小五郎,うーむ…かつての友人ということは、動機も薄いか…,5,毛利小五郎,4,,,,,,,,,,,,
18クリック目,横溝参悟,それがですね、あの2人、親友というよりはライバルという感じだったらしいんです…,,,,,,,,,,,,,,,
19クリック目,江戸川コナン,ライバル…？,,,,,,,10,江戸川コナン,3,,,,,,
20クリック目,横溝参悟,"同じ大学に留学していた人から話を聞けたんですが、成績でも、スポーツでも、
それに恋愛でも、いつも競い合ってたそうですよ…",,,,,,,,,,,,,,,
21クリック目,灰原哀,でも、そういうことでお互いを高め合っていたのなら、いい関係だったんじゃない…？,1,灰原哀,9,,,,,,,,,,,,
22クリック目,小嶋元太,何だか、スポーツマンガみてえだな！,1,小嶋元太,17,,,,,,,,,,,,
23クリック目,横溝参悟,"ああ…スポーツといえば、2人はスカッシュの大学選手権で決勝を戦っていますね…
まれにみる熱戦だったそうで、地元の新聞にも大きく載ったそうです…",,,,,,,,,,,,,,,
24クリック目,円谷光彦,うーん…そんな仲だったのなら、殺すなんて考えられないですよね…,,,,5,円谷光彦,15,,,,,,,,,
25クリック目,横溝参悟,"しかし…会社では良いライバルという訳にはいかなかったようですよ…
経営の方針をめぐってメルドックさんと対立し、会社を追い出されたんだとか…",,,,1,横溝参悟,20,,,,,,,,,
26クリック目,毛利小五郎,じゃあ…その昔を恨みを、今になって晴らした可能性もあるか…？,5,毛利小五郎,4,,,,,,,,,,,,
27クリック目,横溝参悟,"でも井戸原さんもその後、日本で新しい会社を作って、うまくいってるようですから…
今さらという気もしますね…",,,,5,横溝参悟,20,,,,,,,,,
28クリック目,毛利小五郎,ふーむ…動機の線からは、これっていう手がかりは無さそうだな…,,,,,,,,,,,,,,,
29クリック目,江戸川コナン,（確かにおっちゃんの言う通り…動機からは真犯人を見つけるのは難しそうだ…）,,,,,,,15,江戸川コナン,3,,,,,,
30クリック目,江戸川コナン,（やっぱり、アリバイをもう一度、考え直した方がよさそうだな…）,,,,,,,,,,,,,,,
