エンディングストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,小嶋元太,うな重は？博士！うな重は？,2,小嶋元太,17,1,阿笠博士,6,2,灰原哀,9,,,,住宅街,2,IN
2クリック目,阿笠博士,うな重？はて…ワシ、そんなこと言ったかの？,,,,,,,,,,,,,,,
3クリック目,灰原哀,確かに宝探しゲームが終わったら、晩ご飯って言ったけど…,,,,,,,,,,,,,,,
4クリック目,灰原哀,"晩ご飯はみんなの好きなものって言ったでしょ？
うな重だと思いこんでるのは小嶋君の勘違いよ…",,,,,,,,,,,,,,,
5クリック目,小嶋元太,なーんだ…うな重じゃないのか…,5,小嶋元太,17,,,,,,,,,,,,
6クリック目,灰原哀,あっちで作っておいたから…みんなで食べましょう…,,,,,,,,,,,,,,,
7クリック目,小嶋元太,クンクン…この匂いは…,1,小嶋元太,17,,,,,,,,,,,,
8クリック目,吉田歩美,カレーね！,,,,2,吉田歩美,12,,,,,,,,,
9クリック目,円谷光彦,ボク、カレー大好きです！それに、灰原さんの手作りなんて…！,,,,,,,2,円谷光彦,15,,,,,,
10クリック目,小嶋元太,カレー、オレも好きだぜ！もう腹ペコペコだ…！なんでもいいから早く食おうぜ！！,3,小嶋元太,17,,,,,,,,,,,,
11クリック目,灰原哀,ちょっと、小嶋君！ちゃんと手を洗いなさい！,,,,,,,4,灰原哀,9,,,,,,
12クリック目,阿笠博士,"（…新一、今回の宝探しゲームどうじゃったかの？
結構考えて作ってみたんじゃが…）",,,,5,阿笠博士,6,,非表示,0,,,,,,
13クリック目,江戸川コナン,まぁ、子供だましではあったけど…,5,江戸川コナン,3,,,,,,,,,,,,
14クリック目,江戸川コナン,みんな楽しんでたみてーだし、良かったんじゃないか？,2,江戸川コナン,3,,,,,,,,,,,,
15クリック目,阿笠博士,"おぉそうか！みんな楽しんどったか…！
…よーし、次のゲームも考えようかの！",,,,1,阿笠博士,6,,,,,,,,,
