ステージ,,,,,,,
ステージ1,,,,,導入ADV,,まずは研究所をさがすんじゃ?
,,,,,探索場所,,研究所
,,,,,暗号,,あめのひにはくもの
,,,,,正解物証,,長ぐつ
,,,,,不正解物証,,オイルランプ
,,,,,不正解物証,,ロボット
,,,,,不正解物証,,注射器
,,,,,不正解物証,,顕微鏡
,,,,,不正解物証,,実験用ゴーグル
,,,,,対決,,阿笠博士
,,,,,出題者,,阿笠博士
,,,,,エンディングADV,,
ステージ2,,,,,導入ADV,,
,,,,,探索場所,,河川敷
,,,,,暗号,,こううんをよぶしょくぶつ
,,,,,正解物証,,四つ葉のクローバー
,,,,,不正解物証,,小銭入れ
,,,,,不正解物証,,缶コーヒー
,,,,,不正解物証,,ビーチサンダル
,,,,,不正解物証,,救助用うきわ
,,,,,不正解物証,,懐中電灯
,,,,,対決,,阿笠博士
,,,,,出題者,,阿笠博士
,,,,,エンディングADV,,
ステージ3,,,,,導入ADV,,
,,,,,探索場所,,河川敷
,,,,,暗号,,なつにかぶるぼうし
,,,,,正解物証,,麦わら帽子
,,,,,不正解物証,,ビーチサンダル
,,,,,不正解物証,,救助用うきわ
,,,,,不正解物証,,小銭入れ
,,,,,不正解物証,,缶コーヒー
,,,,,不正解物証,,懐中電灯
,,,,,対決,,灰原哀
,,,,,出題者,,灰原哀
,,,,,エンディングADV,,
ステージ4,,,,,導入ADV,,
,,,,,探索場所,,研究所
,,,,,暗号,,あなをあけるどうぐ
,,,,,正解物証,,電動ドリル
,,,,,不正解物証,,スポイト
,,,,,不正解物証,,ロボット
,,,,,不正解物証,,オイルランプ
,,,,,不正解物証,,顕微鏡
,,,,,不正解物証,,実験用ゴーグル
,,,,,対決,,阿笠博士
,,,,,出題者,,阿笠博士
,,,,,エンディングADV,,
ステージ5,,,,,導入ADV,,
,,,,,探索場所,,公園
,,,,,暗号,,あかちゃんののりもの
,,,,,正解物証,,ベビーカー
,,,,,不正解物証,,ラジコン
,,,,,不正解物証,,前掛け
,,,,,不正解物証,,ローラーブレード
,,,,,不正解物証,,三輪車
,,,,,不正解物証,,ミニカー
,,,,,対決,,灰原哀
,,,,,出題者,,灰原哀
,,,,,エンディングADV,,
ステージ6,,,,,導入ADV,,
,,,,,探索場所,,河川敷
,,,,,暗号,,むしをつかまえるどうぐ
,,,,,正解物証,,虫取り網
,,,,,不正解物証,,カエル
,,,,,不正解物証,,懐中電灯
,,,,,不正解物証,,ビーチサンダル
,,,,,不正解物証,,救助用うきわ
,,,,,不正解物証,,小銭入れ
,,,,,対決,,灰原哀
,,,,,出題者,,灰原哀
,,,,,エンディングADV,,
ステージ7,,,,,導入ADV,,
,,,,,探索場所,,研究所
,,,,,暗号,,ちいさいものをみるどうぐ
,,,,,正解物証,,顕微鏡
,,,,,不正解物証,,実験用ゴーグル
,,,,,不正解物証,,試験管
,,,,,不正解物証,,オイルランプ
,,,,,不正解物証,,電動ドリル
,,,,,不正解物証,,スポイト
,,,,,対決,,阿笠博士
,,,,,出題者,,阿笠博士
,,,,,エンディングADV,,
ステージ8,,,,,導入ADV,,
,,,,,探索場所,,河川敷
,,,,,暗号,,かわにすむはちゅうるい
,,,,,正解物証,,亀
,,,,,不正解物証,,カエル
,,,,,不正解物証,,迷いアザラシ
,,,,,不正解物証,,ビーチサンダル
,,,,,不正解物証,,救助用うきわ
,,,,,不正解物証,,小銭入れ
,,,,,対決,,灰原哀
,,,,,出題者,,灰原哀
,,,,,エンディングADV,,
ステージ9,,,,,導入ADV,,
,,,,,探索場所,,公園
,,,,,暗号,,しゃりんのついたくつ
,,,,,正解物証,,ローラーブレード
,,,,,不正解物証,,三輪車
,,,,,不正解物証,,ミニカー
,,,,,不正解物証,,ラジコン
,,,,,不正解物証,,前掛け
,,,,,不正解物証,,ベビーカー
,,,,,対決,,灰原哀
,,,,,出題者,,灰原哀
,,,,,エンディングADV,,
ステージ10,,,,,導入ADV,,
,,,,,探索場所,,研究所
,,,,,暗号,,すてーじいちのせいかい
,,,,,正解物証,,長ぐつ
,,,,,不正解物証,,白衣
,,,,,不正解物証,,ホース
,,,,,不正解物証,,かなづち
,,,,,不正解物証,,実験用ゴーグル
,,,,,不正解物証,,試験管
,,,,,不正解物証,,オイルランプ
,,,,,対決,,阿笠博士
,,,,,出題者,,阿笠博士
,,,,,エンディングADV,,
