調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,阿笠博士,"おぉ、君達か。いいところに来たのー！
ちょうどいま、準備ができたところなんじゃ！",,,,1,阿笠博士,6,,,,,,,住宅街,2,IN
2クリック目,円谷光彦,準備って、いったい何のことですか？,1,円谷光彦,15,,,,,,,,,,,,
3クリック目,阿笠博士,"夏休みで、君達もそろそろたいくつしとるだろうと思ってのぉ…
面白いゲームを考えたんじゃ！",,,,,,,,,,,,,,,
4クリック目,小嶋元太,"えー、ゲーム？
TVゲームなら、もう家でたくさんやったから飽きちゃったぜ！",,,,,,,1,小嶋元太,17,,,,,,
5クリック目,阿笠博士,"ワシらの考えたゲームは、ひと味ちがうぞ……
その名も、宝探しゲームじゃ！",,,,12,阿笠博士,6,,,,,,,,,
6クリック目,吉田歩美,宝探し！？楽しそう！,1,吉田歩美,12,,,,,,,,,,,,
7クリック目,阿笠博士,"そうじゃ！この町のあちこちに隠された物を探し出して
その中から正解のお宝アイテムを見つけるんじゃ！",,,,1,阿笠博士,6,,,,,,,,,
8クリック目,江戸川コナン,（それって、いつものパターンじゃねーかよ……）,,,,,,,5,江戸川コナン,3,,,,,,
9クリック目,灰原哀,そう簡単にはいかないわ……,,,,1,灰原哀,9,,,,,,,,,
10クリック目,江戸川コナン,うわっ……！？,,,,,,,25,江戸川コナン,3,,,,,,
11クリック目,吉田歩美,あ、哀ちゃん！,2,吉田歩美,12,,,,,,,,,,,,
12クリック目,灰原哀,"どれが正解のお宝アイテムなのかは、秘密の暗号を解読しないと
わからないようにしておいたわ…",,,,,,,,,,,,,,,
13クリック目,円谷光彦,あ、暗号ですか……？,14,円谷光彦,15,,,,,,,,,,,,
14クリック目,阿笠博士,"そうじゃ！アイテムを隠した場所に暗号をバラバラにして隠しておいたんじゃ！
この文字を全部見つけてつなげると、正解アイテムのヒントになるんじゃよ！どうじゃな？",,,,1,阿笠博士,6,,,,,,,,,
15クリック目,小嶋元太,へー、なんだか面白そうじゃねーか！,,,,,,,1,小嶋元太,17,,,,,,
16クリック目,吉田歩美,うん！わたしも宝探し、やってみたい！,3,吉田歩美,12,,,,,,,,,,,,
17クリック目,円谷光彦,ちょうどたいくつしてたし、みんなでやってみましょう！,2,円谷光彦,15,,,,,,,,,,,,
18クリック目,江戸川コナン,まあ、博士にしちゃ、気の利いた遊びを考えたな……,,,,,,,1,江戸川コナン,3,,,,,,
19クリック目,灰原哀,私がほとんど考えてあげたんだけどね……,,,,2,灰原哀,9,,,,,,,,,
20クリック目,阿笠博士,"オ、オッホン…！
よーし、そうと決まれば、さっそく宝探しゲームのスタートじゃ！",,,,1,阿笠博士,6,,,,,,,,,
