ステージ65導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,鈴木園子,次はこの部屋…バールームよ！,,,,2,鈴木園子,13,,,,,,,バー,14,IN
2クリック目,毛利蘭,あれ？園子？園子も食事してたんじゃないの？,9,毛利蘭,8,,,,,,,,,,,,
3クリック目,鈴木園子,うーん、私もお腹いっぱいになったし、そろそろキッド様に会えるかなって思って…,,,,,,,,,,,,,,,
4クリック目,鈴木園子,それより蘭、あのメガネのガキんちょ、広間をウロウロしてたけど、どうしたの？,,,,1,鈴木園子,13,,,,,,,,,
5クリック目,毛利蘭,え？コナン君？,,,,,,,,,,,,,,,
6クリック目,小嶋元太,コナンならトイレに行くって言ってから戻ってこねーよ…,,,,,,,1,小嶋元太,17,,,,,,
7クリック目,毛利蘭,"…えー？？じゃぁ迷っちゃったのかな…
私ちょっと見て来るから、皆のことお願いね！",12,毛利蘭,8,,,,,,,,,,,,
8クリック目,鈴木園子,え！ちょっと蘭！,,非表示,0,10,鈴木園子,13,,,,,,,,,
9クリック目,鈴木園子,…まじでこのガキたちの面倒見るの…？,,,,,,,,,,,,,,,
10クリック目,灰原哀,…ほら、目を離すとあの子たちグラスとか割っちゃうわよ…,,,,,,,1,灰原哀,9,,,,,,
11クリック目,鈴木園子,……はい…,,,,5,鈴木園子,13,,,,,,,,,
