ステージ2導入ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利小五郎,ふぅー、もう腹いっぱいだー…,27,毛利小五郎,4,,,,,,,,,,洋館,13,IN,,,,,
2クリック目,毛利蘭,お父さん！こんなにお皿…これ全部食べたの？？,,,,9,毛利蘭,8,,,,,,,,,,,,,,
3クリック目,毛利小五郎,あぁ？いいだろ…別にいくら食べてもタダなんだしよ…,5,毛利小五郎,4,,,,,,,,,,,,,,,,,
4クリック目,毛利蘭,…っもう…恥ずかしいことはやめてって、言ってるじゃない！,,,,7,毛利蘭,8,,,,,,,,,,,,,,
5クリック目,江戸川コナン,(…あれ……？),,,,,,,10,江戸川コナン,3,,,,,,,,,,,
6クリック目,灰原哀,どうかした？…難しい顔して…,,,,4,灰原哀,9,,,,,,,,,,,,,,
7クリック目,江戸川コナン,"…いや、おっちゃんにしてはあんまり酒のんでねーなって思ってよ…
ワインがうまいって評判なのに…",,,,,,,,,,,,,,,,,,,,
8クリック目,灰原哀,そうかしら？あなたが見ていないところで飲んでいるんじゃない…？,,"非表示",0,2,灰原哀,9,,,,,,,,,,,,,,
9クリック目,江戸川コナン,"ま、その可能性もあるけどよ…",,,,,,,5,江戸川コナン,3,,,,,,,,,,,
10クリック目,小嶋元太,おい、コナン！次の宝石、探そーぜ！！,3,小嶋元太,17,,,,,,,,,,,,,,,,,
