調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,沖野ヨーコ,みんな、今日は遊園地に遊びに来てくれてありがとー！,,,,2,沖野ヨーコ,21,,,,,,,遊園地,29,IN
2クリック目,西園雄二,"当遊園地のグランドオープン記念イベントに、沖野ヨーコちゃんが来てくれました！
ヨーコちゃん、今日はよろしくー！",1,西園雄二,85,,,,,,,,,,,,
3クリック目,毛利蘭,"…すごい人ね！
コナン君、ステージ見えてる？",,非表示,0,,非表示,0,3,毛利蘭,8,,,,,,
4クリック目,江戸川コナン,"うん、大丈夫…見えてるよ！
すごくたくさん人がいるね！",3,江戸川コナン,3,,,,,,,,,,,,
5クリック目,阿笠博士,ワシらまで招待してもらって、悪いのぉ…,1,阿笠博士,6,,,,,,,,,,,,
6クリック目,灰原哀,私は、こういううるさい場所は遠慮したかったんだけど…,4,灰原哀,9,,,,,,,,,,,,
7クリック目,吉田歩美,今日はありがとう、蘭お姉さん！,1,吉田歩美,12,,,,,,,,,,,,
8クリック目,毛利蘭,こういうイベントは大勢の方が楽しいからね！,,,,,,,,,,,,,,,
9クリック目,円谷光彦,"でも、よく招待券が手に入りましたね？
このオープンイベントって、ものすごい人気だって聞いてますよ？",1,円谷光彦,15,,,,,,,,,,,,
10クリック目,毛利蘭,それはね…,,,,,,,12,毛利蘭,8,,,,,,
11クリック目,西園雄二,それではここで、スペシャルゲストの登場です！,1,西園雄二,85,,,,,非表示,0,,,,,,
12クリック目,毛利小五郎,"ようこそみなさん！名探偵、毛利小五郎です！
私が来た以上、このイベントは大成功間違いなぁっっっし！わっはっは！",,,,,,,2,毛利小五郎,4,,,,,,
13クリック目,毛利蘭,"…見ての通り、お父さん、このイベントにゲストで出てるの…
それで招待券をもらっちゃったのよ…たくさん！",,非表示,0,,,,1,毛利蘭,8,,,,,,
14クリック目,江戸川コナン,（どうせ沖野ヨーコと同じステージに出るってのを、自慢したかったんだろうけど…）,5,江戸川コナン,3,,,,,,,,,,,,
15クリック目,西園雄二,さてヨーコちゃん！　オープン記念に特別イベントを用意してくれたんだとか？,1,西園雄二,85,,,,,非表示,0,,,,,,
16クリック目,沖野ヨーコ,"はい！そのイベントとは、この<font color='#FF9D9D'>遊園地全体を使っての宝探しゲーム</font>です！
遊園地の中に隠された宝物をみんなで探してね！",,,,2,沖野ヨーコ,21,,,,,,,,,
17クリック目,小嶋元太,宝…？　宝ってなんだ！？もしかして…うな重か！？,1,小嶋元太,17,,,,,,,,,,,,
18クリック目,沖野ヨーコ,"<font color='#FF9D9D'>宝物はステージごとに一つ隠されています！
一文字ずつバラバラに隠れているヒントを全部集めると、宝物を示す暗号に
なる</font>から、みんながんばって集めてね！",,非表示,0,1,沖野ヨーコ,21,,,,,,,,,
19クリック目,毛利小五郎,あまり時間をかけていると、この毛利小五郎が先に暗号を手に入れてしまいますぞ！,,,,,,,2,毛利小五郎,4,,,,,,
20クリック目,沖野ヨーコ,"まあ、大変！！名探偵毛利さんがライバル宣言です！
みんな、がんばってね！",,,,2,沖野ヨーコ,21,,,,,,,,,
21クリック目,江戸川コナン,（なるほど…おっちゃんの役割は、イベントの運営が用意したライバルってわけか）,1,江戸川コナン,3,,,,,,,,,,,,
22クリック目,西園雄二,ところで、優勝賞品は大変豪華だそうですね？,1,西園雄二,85,,,,,,,,,,,,
23クリック目,沖野ヨーコ,"はい、優勝者には、遊園地の年間パスポートをプレゼントします！
そして副賞は、わたし、沖野ヨーコが主演するドラマに共演する権利が
もらえちゃいます！",,,,,,,,,,,,,,,
24クリック目,(群衆）,(おおーっ！）,,非表示,0,,,,,非表示,0,,,,,,
25クリック目,灰原哀,"空気が変わったわね…
子供連れのお父さんとか、若い男性とか、
目の色が変わってるみたいよ…",2,灰原哀,9,,,,,,,,,,,,
26クリック目,江戸川コナン,"ああ、遊園地のオープンイベントにしては若い男の比率が高すぎる気がしてたが…
沖野ヨーコ目当てのファンが相当来てるみてーだな…",1,江戸川コナン,3,,,,,,,,,,,,
27クリック目,西園雄二,"ヨーコちゃんとドラマで共演！
情報では、ヨーコちゃんとのキスシーンもあるそうですが？",1,西園雄二,85,,,,,,,,,,,,
28クリック目,沖野ヨーコ,"えへへへ…どうでしょう？
そういうことも、あったりするかも…？",,,,1,沖野ヨーコ,21,,,,,,,,,
29クリック目,毛利小五郎,なにぃいいいいい！？,,非表示,0,,,,10,毛利小五郎,4,,,,,,
30クリック目,沖野ヨーコ,…も、毛利さん！？,,,,,,,,,,,,,,,
31クリック目,毛利小五郎,"優勝者は、よ、ヨーコちゃん…とチュ、チューっ！？
そんなことは、この毛利小五郎が許さーんんんっ！",,,,,,,,,,,,,,,
32クリック目,毛利小五郎,"まてよ…誰も宝を見つけられなかったら、オレの勝ち？
ということはヨーコちゃんとのち、チューは俺のもの…っ！",,,,,,,27,毛利小五郎,4,,,,,,
33クリック目,毛利小五郎,この勝負、毛利小五郎がもらったぁーっ！,,,,,,,26,毛利小五郎,4,,,,,,
