ステージ１導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,綾小路文麿,皆さん、権田が見つかりましたよ…,7,綾小路文麿,36,,,,,,,権田研二,10003,右,旧公家屋敷の日本間,28,IN
2クリック目,毛利小五郎,お！連絡がついたんですか！？,,,,2,毛利小五郎,4,,,,,,,,,
3クリック目,綾小路文麿,いや、チンピラの溜まり場でウチの部下が確保したんどす…,1,綾小路文麿,36,,,,,,,,,,,,
4クリック目,毛利小五郎,それで、彼はどうして逃げていたんです？,,,,7,毛利小五郎,4,,,,,,右：非表示,,,
5クリック目,綾小路文麿,"彼は窃盗の前科があってようで…
道明氏を訪ねて来たときに私らのパトカーが止まってるのを見て、怖くなったと…",1,綾小路文麿,36,,,,,,,,,,,,
6クリック目,毛利小五郎,は～ん？それだけの理由で？,,,,11,毛利小五郎,4,,,,,,,,,
7クリック目,江戸川コナン,権田って人警察が怖かったってこと？,,,,,,,3,江戸川コナン,3,,,,,,
8クリック目,綾小路文麿,"そうみたいどす…叩けば埃がでそうな人物やし…
警察と関わりとうなかったんでしょう…",7,綾小路文麿,36,,,,,,,,,,,,
9クリック目,服部平次,"なんや小物臭い奴やな…
で、道明さんを訪ねて来た理由はなんなんや？",,,,1,服部平次,5,,,,,,,,,
10クリック目,綾小路文麿,予想通り、借金の取り立てのようでしたな…,1,綾小路文麿,36,,,,,,,,,,,,
,,,,非表示,0,,非表示,0,,非表示,0,,,,,,
11クリック目,服部平次,"おい、工藤…どう思う？
この事件、殺人なんやろか…",,,,15,服部平次,5,,,,,,,,,
12クリック目,江戸川コナン,"自殺としては遺書もないみたいだし…
事故というには、井戸に残った新しい擦った跡や、道明氏の手の傷が気になる…",,,,,,,13,江戸川コナン,3,,,,,,
13クリック目,服部平次,"せやな…
井戸に残った擦れた跡、ロープで井戸の底に下りたとしたら一体何のために…",,,,15,服部平次,5,,,,,,,,,
14クリック目,江戸川コナン,道明氏を助けようとした…もしくは…？,,,,,,,15,江戸川コナン,3,,,,,,
