エンディングストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,小栗まこと,"そうです、僕がそのプリントを本棚の隙間から取りました…
どうやらお困りのようだったので……",1,毛利蘭,8,1,小栗まこと,66,2,鈴木園子,13,,,,図書館,16,IN,,,,,
2クリック目,毛利蘭,そうなんですね！,,,,,,,,,,,,,,,,,,,,
3クリック目,毛利蘭,"<font color='#FF9D9D'>下敷き</font>を使って、本棚の狭い隙間からプリントを取ったんですね…",,,,,,,,,,,,,,,,,,,,
4クリック目,鈴木園子,下敷きを？ギリギリ届いたの？,,,,,,,,,,,,,,,,,,,,
5クリック目,小栗まこと,"下敷きをこすれば静電気が発生します…
その下敷きを本棚の隙間に入れて引き抜けば……",,,,,,,,,,,,,,,,,,,,
6クリック目,小栗まこと,"静電気に吸い寄せられて
下敷きにプリントがくっついてくるってわけです！",,,,,,,,,,,,,,,,,,,,
7クリック目,鈴木園子,"……なるほどね！
ほんとに助かったわ！ありがとう！",,,,,,,,,,,,,,,,,,,,
8クリック目,小栗まこと,"いえ、恩着せがましく名乗り出る気はなかったんですが…
困ったときはお互い様です……それじゃあ…",,,,,,,,,,,,,,,,,,,,
9クリック目,鈴木園子,……,,,,,"非表示",,1,鈴木園子,13,,,,,,,,,,,
10クリック目,毛利蘭,"あれ？
どうしたのよ園子？",,,,,,,,,,,,,,,,,,,,
11クリック目,鈴木園子,"あの人、わたしに気があるんじゃないかしら？
だからわざわざあんなことをしたのよ……",,,,,,,2,鈴木園子,13,,,,,,,,,,,
12クリック目,毛利蘭,"ちょっと園子！京極さんに怒られるよ！
それに図書館にはテスト勉強しに来たんでしょ！",7,毛利蘭,8,,,,,,,,,,,,,,,,,
