調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,毛利蘭,"あれ？　どうしたの園子？
何か考え込んでるみたいだけど……",1,毛利蘭,8,1,鈴木園子,13,,,,,,,図書館,16,IN,,,,,
2クリック目,鈴木園子,"あ、蘭……
蘭がトイレに行ってる間におかしなことがあったのよ…",,,,,,,,,,,,,,,,,,,,
3クリック目,毛利蘭,おかしなこと？,7,毛利蘭,8,,,,,,,,,,,,,,,,,
4クリック目,鈴木園子,"さっきプリントを落としちゃって……
運悪く大きな本棚の隙間に入っちゃったんだけど…",,,,,,,,,,,,,,,,,,,,
5クリック目,鈴木園子,"指を入れて取ろうとしても隙間が細くて入らないから…
図書館の人にお願いしようと思って席を離れたの…",,,,,,,,,,,,,,,,,,,,
6クリック目,鈴木園子,"それで席に戻ってきてみたら、本棚の隙間に入ったはずの
プリントが机の上に置いてあったのよ…",,,,,,,,,,,,,,,,,,,,
7クリック目,鈴木園子,"きっとこの席の周りの誰かが、困ってるわたしを見て
取り出してくれたんだと思うけど…
誰がどうやってやったのかなって…",,,,,,,,,,,,,,,,,,,,
8クリック目,毛利蘭,"……そうね…
<font color='#FF9D9D'>何を使えば狭い隙間からプリントを取り出せたのか</font>……
それを考えればわかるかもしれないね…",13,毛利蘭,8,,,,,,,,,,,,,,,,,
9クリック目,毛利蘭,"あの<font color='#FF9D9D'>下敷き</font>を持ってる<font color='#FF9D9D'>お兄さん</font>とか怪しいわね…",,,,,,,,,,小栗まこと,66,右,,,,,,,,
10クリック目,鈴木園子,"でも結構奥に入ってたから、下敷きで届くかギリギリって感じだったよ…",,,,,,,,,,,,"右：非表示",,,,,,,,
11クリック目,鈴木園子,"<font color='#FF9D9D'>単語カード</font>で勉強してる<font color='#FF9D9D'>大学生っぽいあの女の人</font>、
優しそうじゃない？",,,,,,,,,,大石ゆうき,60,右,,,,,,,,
12クリック目,毛利蘭,でも単語カードは下敷きよりももっと短いよ？,,,,,,,,,,,,"右：非表示",,,,,,,,
13クリック目,鈴木園子,"じゃぁ、<font color='#FF9D9D'>ポーチ</font>をいじってるあの<font color='#FF9D9D'>ギャルっぽい子</font>がそうかも……",,,,,,,,,,武井真美,46,右,,,,,,,,
14クリック目,鈴木園子,"…よし！とにかくスッキリしないし…
お礼も言いたいから話しかけにいこう！",1,毛利蘭,8,2,鈴木園子,13,,,,,,"右：非表示",,,,,,,,
