図書室,,,Lv３,,
,,,,,
事件概要,,,,,
証拠品ドロップアイテム,,,下敷き,,0
事件現場（物探し）,,,図書館,,0
クエストレベル,,,3,,0
依頼現場／対決場所,,,校庭,,0
事件名,,,本棚の下のプリント,,0
事件概要,,,"図書館でプリントを落とした園子。運の悪いことに、そのプリントは大きな本棚の隙間に入ってしまった。手を入れることもできないので困った園子は、図書館スタッフに助けを呼びに行ったが、現場に戻ってくると自分の使っていた机にプリントが戻っていた。誰かがプリントを隙間から引っ張り出してくれたのだ。だが、隙間は指も入らないほど細い。近くにいたのは、下敷きを持っていた小栗まこと、単語カードを使っていた大石ゆうき、ポーチを持っていた武井真美。さて、本棚の隙間からプリントを取り出してくれたのはだれだ。
真相：下敷きで静電気を起こし、その状態で棚の隙間に差し込む。こうすることで下敷きにくっついたプリントを回収した。",,
依頼者,,,鈴木園子,,0
犯人名,,,小栗まこと,,0
はずれ容疑者、物証①,,,大石ゆうき,単語カード,
はずれ容疑者、物証②,,,武井真美,ポーチ,
