ステージ4導入ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,円谷光彦,…あ、これとこれは同じです！,3,吉田歩美,12,,,,2,円谷光彦,15,,,,公園,3,IN,,,,,
2クリック目,吉田歩美,こっちにもある！ほら、あれとこれは同じマークだよ！…,,,,,,,,,,,,,,,,,,,,
3クリック目,毛利蘭,皆、ここで何をしてるの？,,,,1,毛利蘭,8,,,,,,,,,,,,,,
4クリック目,吉田歩美,蘭お姉さん！今ね、コナン君がテストで出した暗号を調べてたの！,,,,,,,,,,,,,,,,,,,,
5クリック目,毛利蘭,コナン君が考えた暗号ね！,,,,,,,,,,,,,,,,,,,,
6クリック目,円谷光彦,この記号のような暗号の中に、同じ種類のマークがあることに気付いたんですよ！,,,,,,,,,,,,,,,,,,,,
7クリック目,毛利蘭,"あ、本当だ！外側は違う形の記号だけど、中に同じ種類のマークが描かれているものが
あるのね！皆、よく見つけたわね！！",,,,,,,,,,,,,,,,,,,,
8クリック目,吉田歩美,でも、どうして同じマークなんだろう…？,9,吉田歩美,12,,,,,,,,,,,,,,,,,
9クリック目,毛利蘭,この暗号が全部ひらがなだとすると…何か共通するものは…,,,,13,毛利蘭,8,,,,,,,,,,,,,,
10クリック目,円谷光彦,"もしかして…「あ・か・さ・た・な…」の行か「あ・い・う・え・お」の段のどっちか
じゃないですか？このマーク！！",,,,,,,,,,,,,,,,,,,,
11クリック目,毛利蘭,…すごいわね！光彦君！,,,,1,毛利蘭,8,,,,,,,,,,,,,,
12クリック目,吉田歩美,本当だ！！すごーい！光彦君！,3,吉田歩美,12,,,,,,,,,,,,,,,,,
13クリック目,小嶋元太,うう…腹が…テスト…テスト……,,,,5,小嶋元太,17,,,,,,,,,,,,,,
14クリック目,毛利蘭,あれ、元太君…どうしたの？大丈夫？,,,,9,毛利蘭,8,,,,,,,,,,,,,,
15クリック目,円谷光彦,元太君はテストって聞いただけで、お腹が痛くなったんだそうです…,,,,,,,1,円谷光彦,15,,,,,,,,,,,
