調査依頼ストーリー,,,,,,,,,,,,,,,,,,,,,,
,発言者,台詞,"表情ID",左キャラ,キャラクターID,"表情ID",中央キャラ,キャラクターID,"表情ID",右キャラ,キャラクターID,小窓画像名,小窓画像ID,"表示位置",背景,背景ID,F.I/F.O,,,,,
1クリック目,吉田歩美,おはよう！コナン君！,1,吉田歩美,12,,,,,,,,,,教室,1,IN,,,,,
2クリック目,江戸川コナン,"おはよう、歩美ちゃん！
……あれ？　おかしいな、このドア開かないけど…",,,,2,江戸川コナン,3,,,,,,,,,,,,,,
3クリック目,吉田歩美,"うん、昨日からだよ？
<font color='#FF9D9D'>誰かが壊しちゃった</font>みたいなの…",2,吉田歩美,12,,,,,,,,,,,,,,,,,
4クリック目,江戸川コナン,"……昨日オレが帰るまでは壊れてなかったから…
<font color='#FF9D9D'>放課後誰かに壊された</font>ってことか……だけど一体誰が？",,,,13,江戸川コナン,3,,,,,,,,,,,,,,
5クリック目,吉田歩美,"まだ誰がやったかはわかってないみたい……
だけどわたし、昨日は最後まで学校にいたから…
犯人がいたとしたら見てるかもしれない…",7,吉田歩美,12,,,,,,,,,,,,,,,,,
6クリック目,江戸川コナン,"そっか……
歩美ちゃんは昨日の放課後、どんな人を見たの？",,,,3,江戸川コナン,3,,,,,,,,,,,,,,
7クリック目,吉田歩美,"光彦君と元太君！
あとは別のクラスの男の子を見たよ！",3,吉田歩美,12,,,,,,,,,,,,,,,,,
8クリック目,江戸川コナン,…その三人はどんな行動をしてたんだ？,,,,2,江戸川コナン,3,,,,,,,,,,,,,,
9クリック目,吉田歩美,"光彦君は<font color='#FF9D9D'>リコーダーを音楽室に忘れた</font>から…
音楽室に取りに行くって言ってたよ…",1,吉田歩美,12,,,,,,,リコーダー,137,右,,,,,,,,
10クリック目,吉田歩美,"元太君は授業中に居眠りしてたからって、
居残りで<font color='#FF9D9D'>ほうき掃除をさせられてる</font>って言ってた…",2,吉田歩美,12,,,,,,,ほうき,135,右,,,,,,,,
11クリック目,吉田歩美,"それで、光彦君と元太君は先に一緒に家に帰ったみたい…
歩美は、まだ学校に残ってたんだけど…",7,吉田歩美,12,,,,,,,,,"右：非表示",,,,,,,,
12クリック目,江戸川コナン,…それで…、別のクラスの男の子にはいつ会ったんだ？,,,,,,,,,,,,,,,,,,,,
13クリック目,吉田歩美,"別のクラスの男の子は…、
わたしが帰るとき<font color='#FF9D9D'>下駄箱に運動靴を入れてた</font>の…
ちょうど帰るところだったみたい…",1,吉田歩美,12,,,,,,,運動靴,136,右,,,,,,,,
14クリック目,江戸川コナン,"(……、三人のうち一人だけおかしな言動をしてる…
もしかしたらそいつがやったのかもしれない…
ちょっと確かめてみるか！)",,,,14,江戸川コナン,3,,,,,,"右：非表示",,,,,,,,
