ステージ5導入ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,怪盗キッド,侵入成功だが…,,,,9,怪盗キッド,2,,,,,,,黒背景,999,IN
2クリック目,怪盗キッド,…あの探偵ボウズ…もしかして気づいている……？,,,,3,怪盗キッド,2,,,,,,,,,
3クリック目,鈴木次郎吉,皆の衆、楽しんでおるかな？,,,,2,鈴木次郎吉,30,,,,,,,書斎（赤）,21,
4クリック目,毛利蘭,"…はい！お招きいただき、ありがとうございます！
皆もとても喜んで、ゲームに参加しています！",2,毛利蘭,8,,,,,,,,,,,,
5クリック目,小嶋元太,おう！オレたち、もう４つも宝石見つけたぜ！,,,,,,,1,小嶋元太,17,,,,,,
6クリック目,鈴木次郎吉,"ほォー！そりゃたいしたもんだ！後ひとつで半分じゃな！
これは彼奴(きゃつ)を出し抜けるかもしれんな！",,,,,,,,,,,,,,,
7クリック目,小嶋元太,"あっというまに全部見つけてやっからよー！
行こうぜ！",,非表示,0,,,,3,小嶋元太,17,,,,,,
8クリック目,円谷光彦,はい！,,,,2,円谷光彦,15,,,,,,,,,
9クリック目,吉田歩美,うん！,3,吉田歩美,12,,,,,,,,,,,,
10クリック目,江戸川コナン,…わりィ！元太、オレちょっとトイレ！,,,,2,江戸川コナン,3,,,,,,,,,
11クリック目,小嶋元太,なんだよコナン…早く戻ってこいよー！,,,,,,,5,小嶋元太,17,,,,,,
