調査依頼ストーリー,,,,,,,,,,,,,,,,,
,発言者,台詞,表情ID,左キャラ,キャラクターID,表情ID,中央キャラ,キャラクターID,表情ID,右キャラ,キャラクターID,小窓画像名,小窓画像ID,表示位置,背景,背景ID,F.I/F.O
1クリック目,毛利蘭,"ごめんね、コナン君…
お腹すいてるのにお父さん迎えにいくことになっちゃって…
急に連絡してきたと思ったら、バーで酔いつぶれてるだなんて……",,,,,,,9,毛利蘭,8,,,,住宅街,2,IN
2クリック目,江戸川コナン,"大丈夫だよ！蘭姉ちゃん……
おじさん、お店に迷惑かけていないと良いね……",,,,3,江戸川コナン,3,,,,,,,,,
3クリック目,江戸川コナン,（まぁ今更酔いつぶれるなって、おっちゃんに言っても直らないけどな……）,,,,11,江戸川コナン,3,,,,,,,,,
4クリック目,阿笠博士,"……ん？
そこにいるのは……コナン君と蘭君じゃないかね？",1,阿笠博士,6,,,,,,,,,,,,
5クリック目,毛利蘭,"あ、阿笠博士！
偶然ですね！今日はお出かけされていたんですか？",,,,,,,1,毛利蘭,8,,,,,,
6クリック目,阿笠博士,"今日は知り合いの博士仲間の所に行っておってのー……
今はその帰りじゃよ！",,,,,,,,,,,,,,,
7クリック目,江戸川コナン,へぇ～……,,,,2,江戸川コナン,3,,,,,,,,,
8クリック目,毛利蘭,そうなんですね！,,,,,,,,,,,,,,,
9クリック目,江戸川コナン,博士、何か紙を持ってるけど、それは何？,,,,,,,,,,,,,,,
10クリック目,阿笠博士,"ん？おお、この紙かの？
これは知り合いの博士仲間の家から帰るときにその仲間から貰った暗号なんじゃが……",,,,,,,,,,,,,,,
11クリック目,阿笠博士,"最近、知り合いの博士仲間が暗号やら推理ゲームに凝っておっての……
じゃが、この暗号がさっぱり分からんようなのじゃ……
そうだ！コナン君、解けるかの？",,,,,,,,,,,,,,,
12クリック目,江戸川コナン,"へぇ……
でもこの紙、ほとんど白紙だよ？",,,,10,江戸川コナン,3,,,,,,,,,
13クリック目,毛利蘭,"本当だ……
あ、でも端っこに<font color='#FF9D9D'>「えさぢるばを逆から読め」</font>って書いてあるよ？これがヒントじゃないかな？",,,,,,,14,毛利蘭,8,,,,,,
14クリック目,江戸川コナン,"「えさぢるば」……？
……！なるほど、そういう事か……",,,,2,江戸川コナン,3,,,,,,,,,
15クリック目,阿笠博士,な、何か分かったのかね？コナン君！,,,,,,,,,,,,,,,
16クリック目,江戸川コナン,うん！博士、これって、すっごい初歩的な暗号だよ！,,,,3,江戸川コナン,3,,,,,,,,,
17クリック目,江戸川コナン,"この暗号を解くための道具は、バーにあると思うよ！
暗号の答えを確かめに、博士も一緒にバーに行こうよ！",,,,12,江戸川コナン,3,,,,,,,,,
